User Name,9220950,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,1,Claim Id,Age
James Sullivan,3620819,7814122,10/24/2020,28111,"Custer City, OK",Single Car Accident,05/07/2021,05/12/2021,5221,50017,1,8627238,33
Juan Zarate,1780943,7988471,3/12/2020,38519,"Middle Village, WI",Single Car Accident,07/18/2020,04/18/2021,15546,53774,0,6873584,57
Brian Dawson,3265311,1862682,11/20/2020,10405,"Morristown, SD",Single Car Accident,01/04/2021,02/09/2021,7967,48987,0,5488038,23
Anna Cowans,4273033,5736026,11/9/2020,84463,"Albert, KS",Multiple Car Accident,11/19/2020,11/21/2020,2811,59853,1,9546175,31
Jimmy Dunn,2917450,5926567,1/27/2020,46210,"North Irwin, PA",Bike & Car Accident,03/06/2021,06/01/2021,14207,32106,0,1186249,25
Rhonda Sarracino,6370901,8383999,8/10/2020,87502,"Monango, ND",Auto Theft,04/20/2021,04/23/2021,16546,16579,0,1287685,30
Vincent Lewis,7689102,7038658,1/25/2020,13899,"New Home, TX",Auto Theft,06/13/2021,06/16/2021,4552,36018,0,1046707,29
Emma Mixon,1615589,1190548,8/14/2020,83066,"Crystal, ND",Multiple Car Accident,12/09/2020,05/20/2021,2150,45003,1,2917254,18
Elizabeth Large,5807014,7945936,10/11/2020,16144,"New York Mills, MN",Multiple Car Accident,10/30/2020,04/06/2021,17551,29547,0,9728382,38
Arthur Denis,3644479,2187282,1/15/2020,74366,"Cherry Valley, IL",Hit and Run,02/14/2021,04/03/2021,15447,41553,0,2001711,17
Dennis Palumbo,1256126,2648544,4/4/2020,22907,"McNabb, IL",Single Car Accident,03/07/2021,06/14/2021,15588,8716,1,2395200,51
Calvin Puig,2637889,6763194,10/19/2020,70982,"Chandler, OK",Single Car Accident,11/22/2020,01/02/2021,18122,52112,0,2379282,28
Roger Marvin,5233766,2568740,9/23/2020,61212,"Smiths Ferry, ID",Multiple Car Accident,12/13/2020,04/09/2021,16853,56750,0,2122435,56
Donald Medina,7744953,3995153,5/16/2020,67668,"Strathmoor Manor, KY",Multiple Car Accident,01/23/2021,01/27/2021,12485,31857,0,4868016,31
Florine Adams,9222300,6969823,11/19/2020,24055,"Orrick, MO",Bike & Car Accident,12/20/2020,01/01/2021,15421,15868,1,4124377,61
William Piirto,8295075,4913869,1/5/2020,56131,"Scandinavia, WI",Bike & Car Accident,09/18/2020,10/23/2020,11569,56151,0,8970434,39
Patricia Hailey,5833502,9562620,3/9/2020,61599,"Wesley Hills, NY",Hit and Run,06/02/2020,08/15/2020,6566,29663,0,7610270,51
Anthony Gregston,1731255,7267986,12/15/2020,21972,"Lochearn, MD",Bike & Car Accident,03/10/2021,05/30/2021,8548,23338,0,3597300,57
Timothy Denson,5299141,6929394,11/14/2020,71282,"Malta, OH",Auto Theft,03/26/2021,03/26/2021,6642,22714,0,8085496,28
Charles Williamson,4869240,7292898,9/15/2020,85040,"Sinclair, WY",Hit and Run,01/22/2021,05/15/2021,3587,14414,1,4835142,39
Ricky Houle,4157218,8405794,4/12/2020,84478,"Fanshawe, OK",Auto Theft,11/01/2020,12/27/2020,16248,9111,1,5041586,27
Elizabeth Querry,8771943,2097429,1/17/2020,24490,"Roseboro, NC",Auto Theft,01/10/2021,04/23/2021,17165,50908,1,8488584,19
Lonnie Willmore,4650170,9302487,3/9/2020,89950,"Colver, PA",Single Car Accident,10/07/2020,11/20/2020,6775,11657,1,2706573,22
Roger Herrera,3193177,4224468,6/4/2020,33820,"Alorton, IL",Single Car Accident,12/02/2020,02/16/2021,8998,56506,1,1390668,55
Jane Perry,8305365,2284403,5/22/2020,95173,"Hillman, MN",Hit and Run,06/26/2020,08/07/2020,19445,49843,0,1850351,54
Cindy Gardner,3518800,1040992,7/22/2020,97687,"St. Leon, IN",Multiple Car Accident,10/11/2020,05/20/2021,7162,22716,0,2693251,40
William Thurmer,7367704,9541328,5/15/2020,29218,"Black River Falls, WI",Auto Theft,09/08/2020,05/12/2021,11109,29237,1,4635570,56
Cassandra Douglas,4902134,9652325,5/11/2020,32451,"Edgemont, SD",Multiple Car Accident,05/27/2021,06/27/2021,6255,30349,0,3098520,20
Sean Carroll,4637941,4970696,6/26/2020,95464,"Sun Prairie, WI",Bike & Car Accident,11/25/2020,03/28/2021,3043,36285,0,1028766,31
Michael Saunders,9742140,1992783,10/8/2020,33915,"Fennville, MI",Multiple Car Accident,10/16/2020,03/16/2021,14385,59962,0,6606934,51
Tammy Allred,9200928,3800099,10/10/2020,16625,"Nellieburg, MS",Bike & Car Accident,06/12/2021,06/19/2021,15237,34255,0,3169669,43
Charles Jones,4309028,7418402,4/4/2020,89838,"Ballou, OK",Bike & Car Accident,04/24/2020,04/19/2021,3709,58854,0,9965263,58
Lourdes Goulet,8951344,9610582,10/8/2020,59220,"Garcon Point, FL",Single Car Accident,12/06/2020,03/05/2021,19383,48154,0,4380782,53
Chandra Burns,5164441,1041466,8/20/2020,60995,"Richmond, TX",Bike & Car Accident,04/01/2021,05/29/2021,16043,14162,1,1621082,31
Joey Sanchez,2608070,3150823,12/20/2020,77394,"Belvidere, NE",Hit and Run,05/07/2021,06/08/2021,5544,11147,0,1080580,55
Ashley Fowler,4789754,5718539,10/16/2020,14712,"St. Joseph, IA",Single Car Accident,05/25/2021,06/12/2021,13267,10330,0,5924616,42
Connie Hoffman,6279882,3454254,3/28/2020,55165,"Rogers, OH",Multiple Car Accident,08/14/2020,12/15/2020,2871,20046,1,2612121,57
Rebekah Powers,9371850,3595246,10/4/2020,78682,"East Spencer, NC",Auto Theft,01/06/2021,05/21/2021,9295,44400,0,6717118,25
Karen Mullis,9335765,1539626,6/21/2020,86864,"Christopher Creek, AZ",Single Car Accident,08/09/2020,05/04/2021,16657,12658,0,6765098,46
April Nash,2353174,4138399,1/24/2020,97594,"Cortez, CO",Hit and Run,04/16/2020,10/04/2020,10346,16167,0,5127255,32
Amanda Simon,8267029,8910999,11/17/2020,20521,"Numidia, PA",Multiple Car Accident,06/16/2021,06/21/2021,9287,31416,0,6038807,46
Julia Halton,4227345,2353425,3/3/2020,59927,"Wildwood, KY",Hit and Run,05/21/2020,07/09/2020,6124,44118,0,7396646,40
Edward Ray,2162121,8290322,7/19/2020,71295,"Lucas, TX",Single Car Accident,10/19/2020,03/01/2021,14400,27116,1,3920352,16
Evelyn Tederous,5269215,5299300,6/4/2020,79799,"Flushing, OH",Hit and Run,10/26/2020,06/04/2021,7817,44053,0,2801478,42
Mercedes Assante,9604947,4372160,8/25/2020,38820,"Vinton, VA",Hit and Run,06/08/2021,06/11/2021,18303,38439,0,6135160,52
William Truax,5687668,5401308,8/27/2020,16906,"Ewing, KY",Auto Theft,09/15/2020,01/21/2021,17338,36822,1,5340933,39
Mark Arnold,8498883,1988095,1/1/2020,91438,"Anamoose, ND",Bike & Car Accident,01/04/2021,01/13/2021,12890,59757,1,6072547,30
Marcelle Thompson,4062048,1623255,1/24/2020,93031,"Hazardville, CT",Hit and Run,03/30/2020,06/30/2021,14965,35470,0,8940253,64
Erich Dear,6311737,5959378,1/1/2020,90840,"Mount Kisco, NY",Multiple Car Accident,08/19/2020,09/13/2020,11603,10645,0,7986683,30
Beatrice Chance,3216213,8781564,7/5/2020,10756,"Soham, NM",Multiple Car Accident,10/26/2020,05/13/2021,15033,18157,1,7662494,37
James Mcmahan,6674211,5447432,11/26/2020,46656,"Eustis, FL",Multiple Car Accident,02/04/2021,06/08/2021,6527,46141,0,7432048,39
John Randolph,1305183,5869402,6/4/2020,42255,"Las Piedras, PR",Bike & Car Accident,06/20/2021,06/21/2021,17173,23995,0,3531772,37
Kay Radford,7577442,1963197,5/16/2020,27956,"Milledgeville, GA",Multiple Car Accident,02/06/2021,06/08/2021,11773,43082,0,8242133,62
Victor Rodwell,3439071,3472785,8/23/2020,29410,"Cherry Valley, IL",Multiple Car Accident,04/16/2021,05/25/2021,16352,50630,0,9966705,28
Brendan Tickle,9018216,5215521,6/21/2020,69210,"Neihart, MT",Hit and Run,02/14/2021,05/01/2021,5501,19898,1,5764995,49
Sharon Gladney,3548399,8042557,9/11/2020,19469,"Vardaman, MS",Single Car Accident,04/11/2021,05/29/2021,2690,44433,0,4734871,62
Kathy Troilo,9098058,1596740,6/7/2020,67243,"Franklin, TX",Bike & Car Accident,07/25/2020,12/07/2020,13065,41717,1,4163953,56
Bernadette Ragone,2528492,1320114,2/16/2020,26340,"St. Michael, AK",Bike & Car Accident,12/20/2020,04/23/2021,3596,56778,1,5612201,48
Shemeka Robinson,5655575,5424267,9/25/2020,64749,"Wasta, SD",Multiple Car Accident,12/31/2020,05/02/2021,19238,38492,1,7195722,31
Naomi Kendrick,1372354,7398989,2/20/2020,47071,"Forks, WA",Bike & Car Accident,08/17/2020,10/21/2020,15530,22814,0,1747577,49
Adela Escobedo,7185312,4526859,2/18/2020,32169,"Buckner, IL",Single Car Accident,10/16/2020,06/19/2021,6940,17874,1,2833527,64
Joseph Medina,9467039,7531362,1/26/2020,24480,"Watson, MN",Hit and Run,06/14/2020,03/08/2021,17159,28684,0,4730321,50
Judy Hall,8127715,5524904,5/2/2020,31571,"Lenhartsville, PA",Bike & Car Accident,12/04/2020,02/28/2021,5835,57643,0,7070519,17
Gail Smith,2752684,2020708,10/15/2020,25687,"Gunnison, CO",Auto Theft,06/20/2021,06/26/2021,14672,45471,0,5869570,65
Linda Kassner,3317936,1570437,9/1/2020,49031,"Hinsdale, IL",Multiple Car Accident,02/20/2021,05/23/2021,17944,41497,0,9902195,61
Cassandra Resner,7437866,1282598,2/10/2020,13488,"Shelton, CT",Bike & Car Accident,03/31/2021,05/12/2021,17515,41801,0,2544831,39
Jamie Alsdon,8063973,8118343,12/28/2020,75483,"Woodbine, IA",Multiple Car Accident,05/22/2021,05/23/2021,3232,37432,0,8414554,52
Chris Tucker,9172138,5168286,12/22/2020,99094,"Crystal Lake, IA",Bike & Car Accident,05/07/2021,06/05/2021,16762,16157,1,3466779,51
Brendan Brady,4921261,6581779,11/28/2020,52344,"Slippery Rock University, PA",Multiple Car Accident,05/28/2021,06/11/2021,16100,48223,1,7604292,29
Maria Puleo,6292196,8255728,3/26/2020,87998,"Cottonwood, MN",Bike & Car Accident,04/22/2020,03/01/2021,17803,12366,1,3130676,39
Lorraine Mowery,4835175,7317894,3/27/2020,10709,"San Felipe Pueblo, NM",Multiple Car Accident,12/30/2020,01/25/2021,14647,47397,1,3501036,20
James Lloyd,9754110,7732871,6/28/2020,69910,"Rutledge, AL",Auto Theft,03/20/2021,05/31/2021,16219,17931,1,1377252,31
Freddie Tatum,2537272,9741330,5/25/2020,84700,"Jeannette, PA",Hit and Run,04/25/2021,06/02/2021,11600,45763,1,9145757,38
Edwin Rodriguez,1908465,4107158,8/26/2020,25398,"Bray, OK",Multiple Car Accident,04/21/2021,06/12/2021,16037,33411,0,3296567,58
Bok Anderson,9924340,1742220,12/23/2020,22310,"Barada, NE",Bike & Car Accident,12/24/2020,02/03/2021,14966,6606,1,2613996,23
Michael Balfour,3109128,9162621,9/20/2020,94302,"Hartford, KY",Bike & Car Accident,03/03/2021,04/18/2021,4059,22548,0,1557683,48
Martha Kosmowski,4545682,8104928,11/7/2020,18531,"Norfork, AR",Single Car Accident,02/07/2021,02/24/2021,10823,31304,0,9170901,54
Verena Smith,7860865,6135629,1/12/2020,97486,"Combined Locks, WI",Hit and Run,12/07/2020,04/03/2021,5049,17776,0,1265918,41
Linda Klinger,2871224,9973441,6/1/2020,97289,"Center City, MN",Auto Theft,10/18/2020,12/24/2020,3688,35484,0,4468393,50
Sandra Bartholomew,6493164,7912205,3/18/2020,39927,"Winchester, OH",Hit and Run,09/01/2020,01/12/2021,9439,28968,1,5121856,40
Betty Schneider,6942964,7075451,6/27/2020,48039,"Elizaville, KY",Single Car Accident,11/30/2020,03/02/2021,5551,5940,0,2849416,23
Rachel Ken,2168177,1170380,9/11/2020,56215,"Mountain View, NC",Hit and Run,03/06/2021,03/20/2021,13065,46143,0,3375137,34
Grace Dick,1954986,1187929,1/26/2020,22073,"Twin Lakes, WI",Bike & Car Accident,11/10/2020,04/17/2021,19340,46545,1,5470743,22
Yvonne Beede,3825384,5473550,3/14/2020,44784,"Pike Creek Valley, DE",Hit and Run,09/11/2020,05/01/2021,17744,56487,0,1338319,46
David Buchanan,5349543,4262889,8/8/2020,90217,"Jefferson, PA",Single Car Accident,03/12/2021,04/10/2021,11015,9116,0,8716528,38
Christina Hoffman,3903824,2544135,7/23/2020,31433,"Bayou Goula, LA",Hit and Run,09/03/2020,09/03/2020,14666,59930,1,5356669,62
Jamie Kosiba,2096342,6706092,2/3/2020,50784,"Lost Creek, TX",Single Car Accident,08/31/2020,10/19/2020,17880,11735,0,3934810,47
Nicholas Griffin,4399126,2317862,7/14/2020,50123,"Bryce, AZ",Single Car Accident,11/22/2020,06/11/2021,18503,11554,0,6138552,43
Jared Stapleton,1463439,7374066,7/1/2020,48965,"Demorest, GA",Auto Theft,01/19/2021,02/10/2021,10256,32348,0,9870853,64
Jerry Card,7037196,9790398,9/16/2020,41609,"Holstein, IA",Auto Theft,10/05/2020,02/12/2021,16554,27454,1,4236512,50
Cindy Robinson,9099296,9597659,10/2/2020,38524,"Eagle Harbor, MI",Hit and Run,03/20/2021,03/23/2021,16268,12482,0,6755549,61
Miranda Williams,2243191,8712624,5/16/2020,22059,"Louisburg, KS",Hit and Run,09/22/2020,06/11/2021,10257,15091,0,5239527,60
William Davis,1836361,6729151,3/20/2020,48665,"Rafael Gonzalez, PR",Bike & Car Accident,01/05/2021,06/27/2021,10366,11758,0,3548834,60
Juan Durr,9937759,2602107,1/19/2020,46787,"Lake Katrine, NY",Hit and Run,05/27/2020,12/31/2020,12890,58293,1,5286625,33
Larry Boucher,6618354,5454285,8/15/2020,26547,"Davis, IL",Multiple Car Accident,11/08/2020,06/02/2021,9471,18537,1,9292619,50
Patricia Jordan,9111198,4257751,10/26/2020,43251,"Denison, KS",Hit and Run,10/27/2020,02/09/2021,15964,31637,0,8234340,24
Maudie Pein,6110126,7534120,1/9/2020,55811,"Rush Center, KS",Bike & Car Accident,04/25/2021,06/21/2021,4418,10733,0,3985634,26
Sheila Bozek,7301201,8118295,5/9/2020,10418,"Hawthorne, NJ",Single Car Accident,12/13/2020,01/29/2021,9649,50541,0,5247534,57
Jim Zabinski,2762350,1797509,4/19/2020,88473,"Mizpah, MN",Bike & Car Accident,08/26/2020,12/09/2020,14576,24354,0,6086291,35
Andrew Edwards,5428980,8210271,9/26/2020,82400,"Glasco, KS",Multiple Car Accident,05/29/2021,05/29/2021,16406,12257,0,2707269,61
Rachel Marquis,3423581,2795823,7/7/2020,32596,"Winnie, TX",Bike & Car Accident,12/31/2020,06/20/2021,15577,6946,0,4743288,54
Eric Morrison,6908602,9393359,4/28/2020,16706,"Odin, KS",Hit and Run,06/07/2020,04/03/2021,7941,23512,1,1045675,43
Sheila Hudson,1261135,2014076,12/22/2020,32609,"Wagon Wheel, AZ",Multiple Car Accident,01/11/2021,06/25/2021,13282,5431,1,4519242,23
Philip Fullenkamp,8079998,6862104,6/15/2020,59366,"Crystal Lake, IL",Single Car Accident,08/17/2020,10/05/2020,4628,33371,0,8318910,22
Edward Armantrout,3111383,5193326,8/21/2020,34283,"Preston, NE",Multiple Car Accident,12/06/2020,01/24/2021,6337,17295,0,1850303,16
Paula Garrett,6590496,6124946,9/21/2020,92700,"Central Square, NY",Bike & Car Accident,11/17/2020,12/17/2020,10800,31373,0,8102637,51
Ray Friedman,4142446,6766579,8/9/2020,95477,"Roodhouse, IL",Bike & Car Accident,05/12/2021,06/12/2021,3525,8181,0,4336516,58
Lawrence Geary,9220004,5423424,12/21/2020,33148,"Larimore, ND",Single Car Accident,01/28/2021,02/17/2021,10274,39868,0,8015091,37
Marcelle Lopez,6791318,9957090,2/12/2020,61052,"Newton, NJ",Bike & Car Accident,09/03/2020,05/31/2021,16475,47920,0,9570401,29
Matthew White,3545258,5587034,11/16/2020,44608,"Fort Stockton, TX",Multiple Car Accident,12/30/2020,05/14/2021,16241,39855,0,6908603,35
Carolyn Brown,6196362,1754859,12/2/2020,40484,"Atkinson, NE",Multiple Car Accident,04/30/2021,05/11/2021,10340,52956,0,8359875,27
Marsha Benavides,2909551,4829714,2/18/2020,56459,"Garden City, GA",Hit and Run,04/10/2021,06/08/2021,14580,55671,0,5687831,42
William Bevelacqua,8717366,9241849,1/14/2020,57222,"Campbell, FL",Bike & Car Accident,12/29/2020,05/11/2021,18778,16091,1,3833003,45
Ivan Wolf,1246945,7399988,9/4/2020,91973,"Bonneauville, PA",Auto Theft,10/21/2020,03/16/2021,18739,33823,0,8038755,50
Johnny Allison,5467768,3413460,7/14/2020,61673,"Pilot Rock, OR",Auto Theft,07/20/2020,08/05/2020,13487,7496,0,9741357,50
Jack Wiley,6977429,7240926,7/11/2020,82065,"Leland, NC",Multiple Car Accident,12/01/2020,05/24/2021,5167,23432,0,5899534,31
Kirk Reese,8299365,6383388,4/13/2020,64451,"Highfield-Cascade, MD",Hit and Run,02/26/2021,05/29/2021,15603,38374,1,5713777,34
Ned Shulz,3545413,3450293,5/16/2020,30561,"Vantage, WA",Auto Theft,12/17/2020,02/28/2021,8292,31412,1,7024990,52
Mabel Watson,9960967,3476770,7/1/2020,10627,"Clio, IA",Multiple Car Accident,10/13/2020,06/04/2021,2784,23972,0,6302494,24
Linda Amyx,1250161,3622585,3/6/2020,16383,"Townsend, TN",Bike & Car Accident,05/03/2020,01/31/2021,12169,12390,1,6130851,57
Doris Forester,1675756,9360627,1/18/2020,25462,"Sanostee, NM",Bike & Car Accident,11/20/2020,02/28/2021,15961,38484,0,8633969,35
Mario Parry,5200973,7738062,2/25/2020,27838,"Lochsloy, WA",Single Car Accident,09/06/2020,06/15/2021,14385,27231,0,2869155,27
Susan Lavoie,1267635,2682521,9/12/2020,68455,"Mill Creek East, WA",Bike & Car Accident,06/01/2021,06/21/2021,5934,36106,1,6383062,53
Kenny Ange,4507553,5671095,5/5/2020,20641,"Lodoga, CA",Multiple Car Accident,08/20/2020,12/22/2020,7375,17344,0,1012368,38
David Driskill,8296938,5814800,3/15/2020,21882,"Neosho, MO",Single Car Accident,11/24/2020,04/21/2021,19534,20466,0,9764315,46
Cyndi Richmond,8606389,1580732,11/26/2020,97814,"Bangor, PA",Multiple Car Accident,02/26/2021,05/30/2021,13650,25660,0,5985252,17
Casey Munselle,3557893,1516902,1/11/2020,28906,"Wallowa Lake, OR",Auto Theft,03/23/2021,05/14/2021,7067,36840,0,7450405,62
Julie Anderson,1690839,2755973,6/10/2020,61622,"Louisville, KS",Hit and Run,02/03/2021,03/14/2021,10148,20691,1,8200455,31
Theodore Garcia,4934314,4484631,10/17/2020,92454,"Cottonwood Heights, UT",Auto Theft,11/14/2020,02/09/2021,6878,5200,1,2726160,48
Marilyn Evert,5527926,2012267,12/4/2020,32715,"Wintergreen, VA",Hit and Run,12/18/2020,05/31/2021,7969,35398,1,9519851,44
Carla Ward,5069171,8244518,6/21/2020,90641,"Chatham, MI",Hit and Run,12/19/2020,04/30/2021,8511,20448,0,2969779,44
Brianna George,3093531,9616359,5/7/2020,82357,"Dawn, MO",Multiple Car Accident,06/13/2020,05/29/2021,9106,59196,0,8121343,37
Anthony Coulter,9916648,3860744,1/27/2020,76305,"Lake Tapps, WA",Bike & Car Accident,07/28/2020,05/12/2021,13179,8360,1,6793555,16
Joseph Suero,1156494,1232114,9/9/2020,19050,"Grace, ID",Single Car Accident,05/05/2021,06/11/2021,5405,8627,0,6686350,30
Phillip Jenkins,2477464,8447312,3/4/2020,39847,"Quincy, WA",Auto Theft,12/07/2020,05/24/2021,17994,15892,1,9454748,23
Joseph Mendoza,2176545,4149940,7/14/2020,68465,"Red Oak, OK",Single Car Accident,01/26/2021,05/15/2021,13909,36611,0,8017911,35
Priscilla Hobson,8281382,7318656,4/23/2020,18117,"Midland, SD",Auto Theft,04/14/2021,06/02/2021,19312,26057,0,2816684,26
April Houston,6247676,2037463,10/2/2020,68572,"Moscow, TN",Multiple Car Accident,12/17/2020,05/19/2021,4693,8096,0,1794084,22
Lana Oman,5867027,5637553,11/8/2020,18813,"Stayton, OR",Bike & Car Accident,04/23/2021,04/27/2021,17252,34388,0,6209540,45
Gary Santiago,3031215,4327676,3/22/2020,78682,"Brewster, KS",Multiple Car Accident,02/07/2021,04/17/2021,10956,56742,0,4827770,44
Lisa Holland,6874148,9296768,10/21/2020,79817,"Garfield, NJ",Bike & Car Accident,06/20/2021,06/29/2021,9349,57383,1,8980751,23
Terry Wyatt,3993030,5436118,11/21/2020,17470,"Alexandria, SD",Multiple Car Accident,02/01/2021,05/04/2021,4622,21701,0,1012053,37
Rhonda Williams,6099150,1287674,1/21/2020,98488,"Old Jamestown, MO",Auto Theft,02/01/2020,02/10/2020,18932,36108,1,1000338,29
Michelle Landry,4973225,1449531,9/21/2020,86588,"Mamers, NC",Single Car Accident,01/08/2021,04/14/2021,6411,42387,0,9651576,24
Sarah Campisi,6939810,1272652,12/14/2020,51280,"North El Monte, CA",Multiple Car Accident,03/03/2021,05/02/2021,17315,7094,0,2569546,65
Keith Rhoades,3253169,1226613,1/2/2020,76297,"Repton, AL",Bike & Car Accident,01/04/2020,01/16/2020,12911,9527,0,9076364,33
Palma Murray,5681114,7523383,7/14/2020,42306,"Kettleman City, CA",Single Car Accident,11/15/2020,06/02/2021,11021,11560,1,3326948,34
Lon Clausen,2991094,3274445,1/13/2020,22663,"Seymour, IN",Hit and Run,08/19/2020,10/30/2020,13186,44099,0,7507418,33
Jennifer Heinen,3794382,8863413,1/18/2020,33973,"East Point, AL",Auto Theft,05/15/2021,05/20/2021,14398,55886,1,9368028,39
Earl Mckenna,6134143,1479944,7/26/2020,64112,"Geraldine, MT",Multiple Car Accident,06/21/2021,06/21/2021,5112,9635,0,7252598,38
Hector Brooks,2313625,1733043,1/20/2020,16630,"Sacramento, NM",Multiple Car Accident,11/29/2020,06/23/2021,7176,56705,1,4061585,36
Jeff Blanco,8890148,8651390,7/12/2020,63295,"Dripping Springs, TX",Multiple Car Accident,04/17/2021,05/31/2021,4826,16548,1,9786454,47
Carolyn Neihart,2899784,8046509,10/9/2020,17487,"Bryson, TX",Auto Theft,12/30/2020,02/05/2021,4387,35673,1,4970250,46
Glenn Dotson,4622621,7134416,4/28/2020,95879,"Templeton, IA",Hit and Run,11/03/2020,11/11/2020,7087,37002,1,5878335,49
Sean Loftus,5553822,9775079,4/2/2020,50696,"Brownstown, PA",Bike & Car Accident,08/08/2020,10/03/2020,8920,28477,0,4103214,21
Andrea Wiedman,8434758,5356179,2/22/2020,95385,"Appleton, WI",Single Car Accident,05/16/2021,05/30/2021,2545,34206,1,5800127,54
Mario Ogden,9687918,5037043,2/14/2020,14361,"New Bremen, OH",Bike & Car Accident,02/26/2021,03/30/2021,10888,22281,0,8379754,63
Julia Dietlin,2848252,5871489,6/4/2020,90983,"Sutherland, IA",Hit and Run,04/20/2021,04/23/2021,19497,57660,0,4449603,51
Erick Worley,1559824,7029167,6/26/2020,80344,"Houtzdale, PA",Auto Theft,01/17/2021,04/21/2021,8087,35803,0,6020323,56
Margaret Menchaca,5598193,3224536,12/11/2020,70323,"Henderson, TX",Bike & Car Accident,01/17/2021,05/29/2021,12782,31222,0,5049706,40
William Shiflett,9918691,9194348,8/9/2020,91482,"Vacaville, CA",Auto Theft,11/28/2020,06/12/2021,3640,55327,0,8522828,39
Katrina Gambrill,8555468,8292876,6/18/2020,79172,"Clarksburg, WV",Multiple Car Accident,07/15/2020,12/11/2020,18285,29465,1,7089042,47
Denise Simmons,6349468,1324465,6/12/2020,80643,"Murrieta, CA",Auto Theft,03/16/2021,06/07/2021,19789,31997,0,9770310,21
Christa Mcdonough,3187950,8521965,2/12/2020,27714,"Piketon, OH",Auto Theft,05/21/2021,06/30/2021,12491,58869,1,9303933,28
Donna Fernandez,2172097,6163227,11/12/2020,20238,"Franklin, AR",Single Car Accident,06/14/2021,06/20/2021,5283,34919,1,5235483,30
Jose Huitt,2209255,7031221,7/1/2020,41041,"Buchtel, OH",Single Car Accident,11/30/2020,03/29/2021,17017,58520,1,6145903,18
Lorraine Mcomber,8275327,5447780,6/19/2020,75553,"Toquerville, UT",Multiple Car Accident,04/08/2021,06/19/2021,2188,49549,0,2814290,65
Leslie Rizzi,3486174,3613786,6/17/2020,42653,"Crowheart, WY",Bike & Car Accident,11/27/2020,12/19/2020,10675,56397,1,1629318,33
Nydia Page,9606591,9844714,8/12/2020,65387,"Bonanza, CO",Bike & Car Accident,12/27/2020,04/12/2021,12315,11274,1,6761295,48
Teresa Compton,5867840,2032198,2/11/2020,49560,"Shiremanstown, PA",Auto Theft,10/05/2020,06/14/2021,16133,59769,0,8508873,56
Jean Staton,5406847,2222956,12/10/2020,79929,"Ramsey, NJ",Multiple Car Accident,02/20/2021,06/12/2021,10524,32554,1,3455821,47
