User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Darlene Vizzi,3512271,2352377,3/8/2020,54527,"Vero Beach, FL",Single Car Accident,05/24/2021,07/05/2021,13721,45057,1,8305054,31
Sharon Sanford,3427670,7302167,1/16/2020,84528,"Tower City, PA",Auto Theft,05/04/2020,09/03/2020,14570,12438,0,3594413,23
William Southard,8051814,8762356,3/19/2020,83852,"Malta, ID",Single Car Accident,06/16/2021,08/02/2021,11583,40413,0,6415933,43
Dave Taylor,6221327,2938513,4/27/2020,41298,"Amite City, LA",Single Car Accident,10/10/2020,12/29/2020,13387,56290,1,5486362,44
Nick Grimes,2703183,8676564,7/10/2020,86536,"North River Shores, FL",Hit and Run,07/20/2021,08/26/2021,6086,32718,1,6532123,30
Molly King,8460157,9004021,7/9/2020,47356,"Spencer, WV",Auto Theft,10/21/2020,02/01/2021,2370,40462,1,9676418,38
William Jenkins,9176592,6225616,2/25/2020,39420,"Laguna Beach, CA",Hit and Run,02/26/2021,10/25/2021,17039,24696,1,9901656,59
Maricruz Bacon,2592055,9004021,9/27/2020,66774,"Linneus, MO",Hit and Run,10/25/2020,06/21/2021,17138,35738,1,6632238,34
Paul Muzquiz,3871378,8676564,2/22/2020,13222,"Callaway, NE",Auto Theft,10/06/2021,10/10/2021,13419,18890,1,8566236,37
Caitlin Olsen,1154082,2938513,1/7/2020,29851,"Irvington, NY",Single Car Accident,06/05/2020,08/25/2020,15445,25088,1,4440561,27
Linda Brown,9417678,8856555,10/13/2020,81509,"Bird-in-Hand, PA",Auto Theft,03/16/2021,05/23/2021,19494,35852,0,4231182,35
Tom Myers,3729309,2995487,11/16/2020,75192,"Mount Laguna, CA",Multiple Car Accident,06/30/2021,08/07/2021,15766,8143,0,2753610,30
Katelyn Barnes,3512271,7565103,6/24/2020,79439,"Merom, IN",Single Car Accident,04/26/2021,08/26/2021,9355,33356,1,5530601,62
Aurora Giard,9996479,4948183,4/25/2020,86662,"Pomona, MO",Single Car Accident,05/08/2020,08/10/2020,16846,35769,0,2677755,50
John Starr,1517786,9822113,6/28/2020,72704,"Roderfield, WV",Auto Theft,11/11/2021,11/22/2021,10821,39138,0,8612701,50
James Mahon,7906887,4725158,6/8/2020,58896,"Bourg, LA",Auto Theft,08/24/2021,11/05/2021,13724,39435,0,6376178,42
Mattie Connolly,7380007,6736269,3/13/2020,20542,"Vienna, MO",Auto Theft,08/07/2020,11/17/2021,18266,51950,0,4040159,42
Rachel Crandall,6865572,7837765,3/18/2020,31536,"Yankee Lake, OH",Hit and Run,07/26/2020,05/21/2021,5166,43744,1,7571150,33
Sheri Ricciardi,7761315,7587960,9/11/2020,24059,"The Pinehills, MA",Auto Theft,11/22/2021,11/26/2021,17563,10128,0,1138430,52
Adam Uttley,4512118,6561443,4/10/2020,35483,"De Borgia, MT",Hit and Run,02/11/2021,10/01/2021,14667,32532,0,8721272,54
Kerry Paez,8538843,2475992,9/22/2020,98290,"Alvo, NE",Hit and Run,02/02/2021,10/27/2021,11992,21316,0,6652595,58
Paul Richards,3667892,5254008,9/19/2020,52745,"Three Way, TN",Bike & Car Accident,10/04/2021,11/15/2021,15991,46494,1,4513085,57
Maria Buchanan,1550074,7574903,12/3/2020,42879,"Fairway, KS",Bike & Car Accident,09/20/2021,09/21/2021,19506,59039,0,7515003,31
Brian Ortega,1776201,6468545,2/17/2020,93662,"Vandalia, IL",Bike & Car Accident,05/11/2021,11/05/2021,9500,5984,1,3295124,52
David Barrett,4660716,8911821,10/4/2020,85511,"Paxtang, PA",Auto Theft,07/07/2021,11/26/2021,4936,22750,0,6383484,52
Philip Donnelly,8055239,1004615,5/27/2020,71310,"Algona, WA",Bike & Car Accident,07/25/2020,04/09/2021,6597,8316,1,6959612,43
William Wofford,3809187,1147066,1/8/2020,49674,"Pocono Mountain Lake Estates, PA",Bike & Car Accident,02/05/2020,03/28/2021,19657,36909,0,9737683,51
Elizabeth Timmons,1802264,2813256,8/26/2020,97445,"Landover, MD",Single Car Accident,03/08/2021,04/14/2021,3762,46525,0,8884060,26
April Stretch,6069293,2896617,3/17/2020,18405,"Forsyth, IL",Single Car Accident,01/12/2021,08/27/2021,8078,38301,0,4362436,34
Rene Evans,8624008,8663148,10/7/2020,70848,"Canton, MN",Multiple Car Accident,10/31/2020,11/16/2021,18299,31295,0,6732404,33
Helen Anderson,8172765,4650161,1/20/2020,10106,"Lutz, FL",Bike & Car Accident,12/23/2020,10/15/2021,8509,20011,0,1112328,19
Todd Chevalier,1165335,2762642,7/15/2020,49033,"Woodland, MD",Hit and Run,04/12/2021,07/12/2021,16996,39818,0,7112022,53
Maria Myers,8532049,5086707,2/25/2020,85187,"St. Albans, VT",Auto Theft,01/06/2021,03/28/2021,17294,50024,0,3422940,65
Russell Scott,3667892,3025123,1/17/2020,78678,"Chesapeake, VA",Auto Theft,03/26/2021,11/13/2021,19407,59517,0,4766818,50
Roy Fortier,6897657,4941606,5/15/2020,54401,"Waterville, IA",Hit and Run,07/22/2020,01/05/2021,11033,8385,0,4679557,52
Brad Miller,2512360,4558663,9/21/2020,64243,"Balmorhea, TX",Auto Theft,10/11/2021,11/12/2021,19285,16736,0,1230646,36
Eddie Bruton,3600041,2388617,3/10/2020,68907,"Lewisport, KY",Bike & Car Accident,03/21/2020,06/21/2020,5210,38138,0,9151318,44
William Jarvi,8106002,2286682,1/25/2020,93569,"Spanish Fort, AL",Bike & Car Accident,09/12/2021,10/06/2021,19248,12563,0,1700619,17
Mark Driskell,3870639,6622544,5/1/2020,90178,"Nevada City, CA",Hit and Run,11/21/2021,11/28/2021,4831,19979,0,1699688,53
William Southard,8051814,8762356,3/19/2020,72442,"Baden, MD",Auto Theft,06/12/2021,10/08/2021,19642,40413,0,6609169,43
William Jenkins,9176592,6225616,2/25/2020,95748,"Yarnell, AZ",Single Car Accident,01/25/2021,03/29/2021,4235,24696,0,5304191,59
Linda Brown,9417678,8856555,10/13/2020,92787,"Wadsworth, NY",Single Car Accident,05/31/2021,07/14/2021,18385,35852,0,5655503,35
Aurora Giard,9996479,4948183,4/25/2020,85838,"Myrtle Beach, SC",Auto Theft,06/02/2021,06/11/2021,2896,35769,0,9910511,50
Rachel Crandall,6865572,7837765,3/18/2020,86434,"Draper, VA",Multiple Car Accident,05/27/2021,11/17/2021,4164,43744,0,6103683,33
Elizabeth Timmons,1802264,2813256,8/26/2020,69935,"La Grange, TN",Bike & Car Accident,10/06/2021,10/06/2021,13476,46525,0,8873511,26
Rene Evans,8624008,8663148,10/7/2020,43093,"Ladera, CA",Multiple Car Accident,03/11/2021,11/24/2021,13705,31295,0,6999223,33
Larry Dow,9411200,4972985,1/5/2020,53256,"Godfrey, IL",Bike & Car Accident,07/22/2020,05/11/2021,16002,29996,0,3795461,46
Joan Hayashi,8200861,8058333,10/16/2020,59462,"St. Marys, KS",Hit and Run,01/27/2021,10/11/2021,10729,20897,0,2180571,27
William Jarvi,8106002,2286682,1/25/2020,96174,"Wilmer, TX",Multiple Car Accident,11/18/2021,11/27/2021,19068,12563,0,4914966,17
Caitlin Olsen,1154082,2938513,1/7/2020,60185,"Port Deposit, MD",Bike & Car Accident,09/16/2020,07/22/2021,15794,25088,0,9634892,27
Aurora Giard,9996479,4948183,4/25/2020,40361,"Gilmanton, WI",Bike & Car Accident,07/09/2020,08/03/2021,3145,35769,0,1418634,50
John Starr,1517786,9822113,6/28/2020,38509,"Hot Springs, NC",Auto Theft,09/27/2020,11/19/2021,5323,39138,0,6100723,50
Mattie Connolly,7380007,6736269,3/13/2020,76103,"Boscobel, WI",Bike & Car Accident,06/08/2020,10/30/2021,11958,51950,0,1319423,42
David Barrett,4660716,8911821,10/4/2020,73960,"Cooleemee, NC",Single Car Accident,03/13/2021,09/19/2021,4621,22750,0,7245965,52
Maria Myers,8532049,5086707,2/25/2020,90041,"Tuscola, IL",Hit and Run,02/05/2021,05/24/2021,7331,50024,0,5429748,65
Russell Scott,3667892,3025123,1/17/2020,46247,"Colman, SD",Single Car Accident,05/02/2021,08/23/2021,14252,59517,0,8248152,50
Mark Driskell,3870639,6622544,5/1/2020,72449,"Brentwood, CA",Auto Theft,03/19/2020,04/03/2020,6774,19979,0,2235618,53
Sharon Sanford,3427670,7302167,1/16/2020,73582,"Blue River, WI",Multiple Car Accident,07/30/2021,10/31/2021,19246,12438,0,4954715,23
Brian Ortega,1776201,6468545,2/17/2020,29474,"Botkins, OH",Single Car Accident,08/04/2021,08/06/2021,11643,5984,0,8947710,52
