User Name,Driver Id,5246457,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,1,Claim Id,Age
Cecelia Baumbach,5265628,1378059,5/25/2020,44467,"Avondale, AZ",Auto Theft,07/24/2020,10/31/2020,11118,59251,0,4116065,58
Vicki Fullmer,1952161,2463563,5/6/2020,31089,"Blacklick Estates, OH",Multiple Car Accident,10/28/2020,06/18/2021,4746,59987,0,6226910,31
Jewell Hoskins,7173516,7870190,10/10/2020,16695,"Hallam, PA",Hit and Run,02/09/2021,03/21/2021,5055,53983,0,7374143,65
Kim Jones,6971775,6698253,8/25/2020,64908,"Miltonsburg, OH",Multiple Car Accident,06/27/2021,06/27/2021,7825,36080,1,7539418,39
Dawn Wolcott,9497027,7794566,1/23/2020,87380,"Sankertown, PA",Multiple Car Accident,08/07/2020,11/16/2020,7478,24508,0,3506320,17
Santos Magana,1191221,7410315,10/11/2020,52636,"Laketown, UT",Multiple Car Accident,02/06/2021,04/02/2021,3444,59080,0,1298231,40
Inez Mooney,1094971,4842777,5/22/2020,60432,"Coplay, PA",Bike & Car Accident,05/05/2021,05/28/2021,5202,20591,0,8841426,53
Linda Horn,2067864,9789851,12/3/2020,56140,"Negley, OH",Bike & Car Accident,01/24/2021,06/17/2021,11123,36452,1,2928971,36
Rachael Griggs,9210293,5029229,6/25/2020,94902,"Lake of the Woods, CA",Auto Theft,04/11/2021,06/09/2021,8135,55610,0,6875671,63
Amanda Davis,6509791,3123453,9/11/2020,99378,"New London, MO",Bike & Car Accident,11/19/2020,03/30/2021,15794,44211,1,6998537,59
Louise Chapman,5957206,2142021,8/12/2020,65844,"Warrenton, GA",Multiple Car Accident,01/22/2021,02/03/2021,15865,6017,0,9750643,45
Timothy Whyte,3650267,7853087,8/20/2020,27229,"Randall, MN",Bike & Car Accident,03/02/2021,05/30/2021,18980,49244,0,1621622,16
Randy Mattie,9863544,8125081,4/11/2020,66323,"Collins, OH",Auto Theft,08/08/2020,05/05/2021,10201,30863,0,3282584,55
Connie Mcanulty,7810524,6726385,6/26/2020,20816,"Kure Beach, NC",Bike & Car Accident,10/03/2020,10/28/2020,4635,28110,1,1114153,60
Patricia Oleksy,5715200,1547394,8/17/2020,75359,"Baskerville, VA",Hit and Run,05/10/2021,05/23/2021,10386,45792,0,7781891,57
Ryan George,7810524,4580755,2/4/2020,92903,"Belmont Estates, VA",Hit and Run,09/14/2020,05/07/2021,19511,33888,1,4466869,47
James Warnke,8148702,9347566,8/13/2020,89812,"South Floral Park, NY",Multiple Car Accident,11/09/2020,12/28/2020,15751,17140,0,4812284,17
Michael Claggett,7070646,5984403,9/28/2020,24507,"Olympian Village, MO",Single Car Accident,12/09/2020,06/11/2021,12977,11149,0,2263491,48
Cristina Stang,3198621,7811867,1/22/2020,43876,"Sedona, AZ",Single Car Accident,06/23/2021,06/30/2021,5143,20280,0,9740921,26
Kieth Titus,6509791,9763594,7/21/2020,51657,"Enola, AR",Auto Theft,07/25/2020,05/19/2021,14010,33412,1,5227310,45
Lawrence Smith,4343964,5811570,7/5/2020,20752,"Gerton, NC",Multiple Car Accident,11/08/2020,02/28/2021,5966,32979,0,1704258,21
Marie Davis,2067864,6017883,11/8/2020,10980,"Lincoln Heights, OH",Hit and Run,05/31/2021,06/28/2021,18556,41066,1,2974775,16
Brian Cannon,6430246,1516187,1/19/2020,63602,"Deseret, UT",Bike & Car Accident,06/29/2020,10/19/2020,6856,32790,0,1436961,61
Leone Reyna,5079142,6905090,6/14/2020,46629,"Tavares, FL",Hit and Run,01/12/2021,06/08/2021,13124,20472,0,9876890,65
Danny Kelm,3839894,7273867,10/14/2020,21084,"Big Bear Lake, CA",Single Car Accident,06/25/2021,07/01/2021,4525,30510,0,7657505,24
Courtney Grubbs,6971775,6698253,10/15/2020,62188,"Levittown, PA",Single Car Accident,04/12/2021,05/21/2021,13405,36511,1,4411217,22
Jimmy Smith,7149974,1383427,9/11/2020,50126,"Oak Harbor, WA",Hit and Run,09/29/2020,01/16/2021,14150,29033,0,6459637,25
Nichelle Murray,7249245,7284614,8/14/2020,95453,"Pace, FL",Multiple Car Accident,09/04/2020,03/04/2021,13426,22246,0,5267617,22
Hans Glover,8906957,5106206,3/19/2020,42612,"Morrilton, AR",Multiple Car Accident,05/24/2021,06/13/2021,17932,18343,0,7042099,65
Doris Mcallister,3457915,3213478,6/16/2020,36390,"Lebo, KS",Single Car Accident,10/27/2020,11/29/2020,13994,28959,0,4125974,22
George Cervantes,8290880,5154927,7/28/2020,88755,"Sebring, FL",Auto Theft,02/16/2021,06/21/2021,19240,58163,1,5301186,33
Ron Murr,4760167,3641471,8/23/2020,65227,"Scott, LA",Bike & Car Accident,03/12/2021,05/30/2021,13049,27074,0,9348412,34
Charles Horne,5142834,8495339,6/11/2020,20049,"Genoa, WI",Bike & Car Accident,03/02/2021,06/29/2021,10567,31459,0,4169713,49
Brooke Fosmire,2069928,5361756,9/5/2020,79776,"Pearl Beach, MI",Multiple Car Accident,09/05/2020,10/15/2020,2438,12946,0,7837096,17
Joann Little,5397886,5544850,6/14/2020,52679,"Palestine, OH",Single Car Accident,05/10/2021,06/10/2021,2564,12390,0,2578796,46
William Gassen,6067824,3425036,4/24/2020,57921,"Hometown, PA",Hit and Run,10/21/2020,06/15/2021,13010,19735,0,9967585,18
Joshua Browne,1685156,3350432,1/3/2020,98450,"Vinco, PA",Hit and Run,02/27/2020,05/01/2021,4590,28089,1,4584739,64
Chrystal Dubard,4447101,4411999,3/10/2020,19095,"Dwight Mission, OK",Auto Theft,09/28/2020,11/18/2020,19142,12580,0,1142292,48
George George,3371956,8235534,2/8/2020,88705,"Bowdon, GA",Auto Theft,08/10/2020,11/17/2020,9478,29933,0,1681879,38
Sandy Chiang,5350574,3746957,1/9/2020,14225,"Rough and Ready, CA",Multiple Car Accident,02/24/2021,06/02/2021,3297,23705,0,5171273,24
Christine Smith,8606588,3508251,10/28/2020,20241,"Pollard, AR",Single Car Accident,12/06/2020,01/03/2021,19325,47354,1,6485648,48
Joseph Quick,2869232,3939604,11/1/2020,19371,"Mexia, TX",Hit and Run,02/07/2021,05/18/2021,2287,6402,0,8408666,22
Carlos Garcia,7971300,1454401,9/4/2020,81771,"Roosevelt, UT",Hit and Run,05/09/2021,06/27/2021,13611,19979,1,6507030,55
Myrtice Groom,6540315,6842022,9/25/2020,76595,"North Corbin, KY",Bike & Car Accident,10/30/2020,04/16/2021,19627,52885,1,1394935,60
Tamara Weaver,1138755,8162208,9/24/2020,29439,"Dunwoody, GA",Auto Theft,03/04/2021,06/26/2021,15763,17305,0,7436869,52
Cherie Degaetano,7468482,5976741,6/5/2020,20915,"East Dennis, MA",Bike & Car Accident,03/01/2021,04/09/2021,19800,40784,0,3394455,52
Rita Gardner,5371601,9224553,2/2/2020,39504,"Clay Springs, AZ",Bike & Car Accident,10/28/2020,03/11/2021,15503,37124,0,4857193,42
Ryan Franz,5662708,5134663,1/5/2020,95871,"Industry, IL",Hit and Run,04/03/2020,05/13/2020,17479,23524,1,2447127,35
Tiffany Hardy,3577007,3639472,3/26/2020,68327,"Lawrence, KS",Single Car Accident,08/19/2020,06/10/2021,9093,57329,0,3473127,41
Timothy Maxey,2857938,4166677,2/3/2020,40486,"Slick, OK",Bike & Car Accident,01/31/2021,06/11/2021,11862,44487,0,8799839,27
Ida Surratt,6113929,4295333,1/3/2020,76308,"Du Bois, IL",Multiple Car Accident,06/16/2021,06/27/2021,13528,31325,0,1610146,43
David Dennison,4846790,5270327,1/10/2020,64977,"Crestview Hills, KY",Multiple Car Accident,04/26/2021,06/21/2021,19482,52024,0,7473196,44
Robert Wood,4597164,6381897,4/8/2020,90631,"Auburn, CA",Auto Theft,09/27/2020,04/14/2021,10744,51262,0,6684092,61
William Medford,6343544,3567433,4/24/2020,25493,"Tallapoosa, MO",Hit and Run,11/19/2020,01/08/2021,12450,40508,0,9533220,35
Marshall Berryman,7618892,9104552,7/4/2020,34749,"Circle Pines, MN",Hit and Run,10/26/2020,10/27/2020,9069,19443,1,9785058,20
Sandra Bongiorno,7415658,5158901,8/12/2020,92181,"Canyon Lake, CA",Hit and Run,03/05/2021,04/27/2021,11344,24697,0,1342641,43
Bertha Bower,3271503,9057346,6/2/2020,79833,"Underwood, IA",Auto Theft,04/06/2021,05/11/2021,17295,10513,1,1915392,57
Frederick Bearden,7618004,9412059,10/5/2020,27868,"Indian River, MI",Multiple Car Accident,05/05/2021,06/20/2021,5377,7991,0,1892619,35
Rose Morales,3911904,9220898,8/14/2020,34541,"Rolfe, IA",Auto Theft,12/07/2020,03/04/2021,6119,17810,1,6488518,48
Travis Palm,5032228,7730306,11/21/2020,64323,"Gum Springs, AR",Hit and Run,06/26/2021,06/30/2021,18109,5411,0,6351249,64
Lorena Droke,4521129,8373645,4/7/2020,83003,"K. I. Sawyer, MI",Hit and Run,03/09/2021,06/28/2021,7996,57556,0,7112395,56
Danny Patnode,5373358,5962078,11/8/2020,97191,"Garland, TX",Auto Theft,12/07/2020,03/29/2021,18649,47443,1,2727270,45
Lena Salmons,5249118,7488256,10/19/2020,13953,"Empire, LA",Auto Theft,01/14/2021,04/02/2021,12204,12010,0,5449546,21
Charles Lugo,5950084,5246457,3/27/2020,72551,"New Hebron, MS",Bike & Car Accident,10/11/2020,11/11/2020,8161,33001,1,6296886,22
Mamie Newby,5190265,9994715,7/27/2020,76762,"Bullard, TX",Hit and Run,06/10/2021,06/24/2021,10025,50418,0,1354590,47
Paul Nagy,2328989,9127785,12/26/2020,40011,"Tanglewilde, WA",Hit and Run,06/29/2021,06/30/2021,13207,38902,0,4881265,48
Richard Joseph,6495062,2541315,4/26/2020,92165,"Salem, OH",Multiple Car Accident,07/10/2020,12/16/2020,14001,44892,0,7400235,28
Roxanne Knight,1207477,7368775,6/22/2020,73700,"Greenleaf, WI",Hit and Run,07/04/2020,03/30/2021,17436,52088,0,1301816,37
Timothy Whyte,3650267,7853087,8/20/2020,27229,"Randall, MN",Bike & Car Accident,03/02/2021,05/30/2021,18980,49244,0,2336424,16
David Dennison,4846790,5270327,1/10/2020,64977,"Crestview Hills, KY",Multiple Car Accident,04/26/2021,06/21/2021,19482,52024,0,4354566,44
Paul Nagy,2328989,9127785,12/26/2020,40011,"Tanglewilde, WA",Hit and Run,06/29/2021,06/30/2021,13207,38902,0,3533784,48
