User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Terry Jones,3372704,7207870,10/18/2020,41082,"Sylvan Springs, AL",Hit and Run,10/18/2020,03/07/2021,5086,31306,0,1335269,32
Gwendolyn Baiz,5134346,5272260,4/16/2020,99405,"Altamont, MO",Auto Theft,03/15/2021,04/23/2021,12876,39166,0,1936799,20
Michelle Lemley,6051166,1036012,1/16/2020,93880,"Washingtonville, PA",Auto Theft,05/28/2020,06/18/2020,15947,51754,0,6938666,38
Carrie Dellosso,7693211,9253325,4/9/2020,99411,"Palo Verde, CA",Multiple Car Accident,01/23/2021,04/05/2021,14265,52144,0,6847091,61
Linda Torres,3736798,8037953,6/27/2020,52507,"Esparto, CA",Auto Theft,04/17/2021,04/18/2021,5831,17525,0,2276020,26
Evangeline Michelson,7863163,1001290,11/22/2020,99054,"Abbeville, SC",Hit and Run,02/28/2021,07/09/2021,6461,16222,0,9369226,46
Mary Mckinney,5002045,9766115,8/20/2020,94695,"Kensington, KS",Hit and Run,05/04/2021,05/09/2021,7280,43539,0,5810960,28
Kathryn Duff,7675391,4709864,12/24/2020,99020,"Forestburg, SD",Multiple Car Accident,07/24/2020,01/02/2021,17800,59906,0,8772380,43
Mary Weber,1681808,4576716,12/10/2020,69852,"Bremen, GA",Bike & Car Accident,06/30/2020,12/20/2020,18821,34990,0,4999898,52
Julie Vancleave,7358700,1294735,11/7/2020,26401,"Rosemead, CA",Single Car Accident,06/10/2020,12/29/2020,8127,16876,0,4730642,45
Larry Escoto,9522226,8403149,10/7/2020,74001,"Chilchinbito, AZ",Hit and Run,12/30/2020,03/27/2021,18824,41747,0,6194516,29
Victoria Moore,8643187,2569646,10/14/2020,78332,"Francis, UT",Hit and Run,11/02/2020,03/24/2021,5409,56338,0,5426006,58
Patricia Jones,5206453,9531200,11/4/2020,38793,"Richland, PA",Bike & Car Accident,07/08/2020,04/01/2021,13239,39666,0,2443216,56
Daniel Niemczyk,4411319,4953595,5/28/2020,55438,"Karlsruhe, ND",Multiple Car Accident,06/04/2020,04/23/2021,19300,13629,0,1142746,54
Edward Guertin,6382339,9818807,2/25/2020,35155,"Del Rey Oaks, CA",Auto Theft,09/17/2020,10/24/2020,12203,43230,0,2692120,39
Theresa Posadas,3592877,8269913,5/25/2020,57926,"Ranger, TX",Bike & Car Accident,04/25/2021,07/10/2021,5096,8003,0,3367712,33
Gwendolyn Baiz,5134346,5272260,4/16/2020,34405,"Kingston, NJ",Bike & Car Accident,10/19/2020,05/12/2021,17848,39166,0,6311416,20
Michelle Lemley,6051166,1036012,1/16/2020,45779,"Bryans Road, MD",Hit and Run,10/21/2020,12/31/2020,7131,51754,0,7921582,38
Genevieve Williams,3543872,7295841,7/1/2020,24363,"Batesville, MS",Single Car Accident,05/14/2021,06/24/2021,9196,23729,0,7664348,64
Dorothy Frederick,8420466,7673238,6/19/2020,59911,"Franklin, MI",Auto Theft,05/17/2021,06/30/2021,11431,5523,0,6451702,17
Robert Kanagy,2466415,9377590,2/27/2020,26216,"Cedar, MI",Auto Theft,05/15/2021,06/24/2021,9157,38736,0,7186801,47
Sandy Muniz,2226952,3889734,4/5/2020,26448,"Kenwood, CA",Single Car Accident,10/27/2020,03/18/2021,3524,11187,0,3073342,58
Christopher White,7409471,4642564,8/4/2020,35782,"Kykotsmovi Village, AZ",Multiple Car Accident,06/09/2020,02/07/2021,3847,59191,0,8772045,47
Victoria Moore,8643187,2569646,10/14/2020,38519,"Thurman, IA",Single Car Accident,08/25/2020,03/15/2021,10940,56338,0,6034637,58
William Wiford,5966314,9175615,5/24/2020,12807,"Resaca, GA",Hit and Run,09/07/2020,10/20/2020,5080,55574,0,7067570,23
Michelle Lemley,6051166,1036012,1/16/2020,33832,"Carlisle, IA",Hit and Run,06/01/2020,05/30/2021,2458,51754,0,8658623,38
Carrie Dellosso,7693211,9253325,4/9/2020,93061,"Platinum, AK",Single Car Accident,06/07/2020,06/02/2021,8552,52144,0,9619830,61
Kenny Nelson,4775437,3897999,1/21/2020,82099,"Hamilton, MT",Multiple Car Accident,03/22/2021,06/01/2021,16157,33282,0,3772913,60
Edward Guertin,6382339,9818807,2/25/2020,42940,"Brandon, SD",Hit and Run,05/16/2020,06/25/2021,19616,43230,0,8237433,39
Terry Jones,3372704,7207870,10/18/2020,59876,"Naples, FL",Hit and Run,08/13/2020,08/26/2020,18562,31306,0,8525896,32
Michelle Lemley,6051166,1036012,1/16/2020,24414,"Electric City, WA",Auto Theft,06/25/2020,08/14/2020,7380,51754,0,4762054,38
