User Name,1392811,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,1,Claim Id,Age
Emmanuel Treffert,1547278,4681004,1/22/2020,95027,"O'Fallon, MO",Bike & Car Accident,01/05/2021,02/26/2021,19150,5729,0,2218384,60
Howard Thompson,7750715,5191351,10/28/2020,37777,"University, MS",Hit and Run,11/19/2020,03/18/2021,7724,47575,0,2271112,35
David Kaywood,5141285,6801415,3/12/2020,46591,"Jackson, LA",Multiple Car Accident,04/04/2020,07/05/2020,5806,20141,0,9526251,64
Irwin Anderson,3179958,5906184,6/11/2020,97975,"Rail Road Flat, CA",Multiple Car Accident,12/19/2020,01/05/2021,8096,20211,0,4007533,36
Ignacio Freund,7220582,5139432,8/12/2020,22243,"Milan, IL",Hit and Run,02/28/2021,07/03/2021,4335,24546,0,3184326,63
Vivian White,5389154,4092832,1/6/2020,35947,"Haddon Heights, NJ",Single Car Accident,10/14/2020,12/06/2020,7355,7479,0,1688187,56
Cynthia Smothers,3988103,1622664,2/10/2020,69798,"New Haven, KY",Auto Theft,01/27/2020,02/24/2020,6340,21333,0,7521339,20
Kenneth Hunt,5364156,4724429,10/1/2020,52142,"Conesus Lake, NY",Auto Theft,01/24/2021,05/08/2021,4932,21552,0,2693636,42
Gregory Hinkel,7226388,9639524,6/25/2020,16277,"Cloverdale, CA",Auto Theft,11/02/2020,03/02/2021,5438,35925,0,5493484,63
Helen Berry,9098821,8570168,6/27/2020,24782,"Jefferson City, MT",Hit and Run,05/18/2020,05/06/2021,19579,25911,0,4097306,33
Arleen Russell,8865663,8206059,12/27/2020,93170,"Hard Rock, AZ",Single Car Accident,05/15/2020,11/28/2020,16754,39263,0,6081476,16
Dale Burns,1336965,5749741,2/6/2020,61772,"Spring Mount, PA",Auto Theft,03/04/2020,07/23/2020,10468,14572,0,8166530,40
Matthew Galvez,6769963,4434190,3/26/2020,16250,"Nelson Lagoon, AK",Hit and Run,10/28/2020,11/10/2020,15239,35088,0,2783795,55
George Collins,5222693,3395207,2/25/2020,49570,"Dodson, MT",Auto Theft,07/04/2020,11/10/2020,19590,11285,0,9390880,36
Cynthia Smothers,3988103,1622664,2/10/2020,88449,"Morning Sun, IA",Hit and Run,02/14/2021,06/08/2021,9225,21333,0,7701702,20
Patricia Murphy,1257667,2274993,5/26/2020,21660,"Emery, SD",Bike & Car Accident,03/15/2021,03/31/2021,7022,51377,0,6685293,45
John Litten,1392811,9541805,4/8/2020,33930,"Walnut Creek, OH",Single Car Accident,10/11/2020,04/07/2021,14005,14585,0,7247059,59
Tim Melendez,7399483,7565880,10/27/2020,70054,"Hartford, AL",Multiple Car Accident,04/07/2021,06/11/2021,14332,38389,0,7464184,57
Teresa Whetzel,4260990,4708357,8/1/2020,43347,"Hermosa Beach, CA",Bike & Car Accident,02/18/2021,06/24/2021,17514,33187,0,4310599,54
Emmanuel Treffert,1547278,4681004,1/22/2020,82288,"Versailles, KY",Auto Theft,03/14/2020,07/14/2020,13523,5729,0,3065469,60
Matthew Galvez,6769963,4434190,3/26/2020,45324,"Campo, CA",Bike & Car Accident,02/09/2020,08/07/2020,13979,35088,0,5076356,55
Jake Parton,6955845,3391220,1/26/2020,95422,"San Jose, NM",Hit and Run,03/02/2020,06/08/2021,5211,56879,0,3036147,62
