User Name,1124869,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,1,Claim Id
Edwin Fields,9192489,7493155,5/12/2020,32462,"Montezuma, OH",Bike & Car Accident,02/09/2021,02/28/2021,7900,53681,1,1518425
Glenda Singleton,4937382,5853931,7/12/2020,47201,"Cherry, IL",Multiple Car Accident,08/07/2020,02/22/2021,9596,52596,0,2277093
Gerald Hampton,4174007,3656802,9/24/2020,25581,"Granite Falls, NC",Bike & Car Accident,11/17/2020,04/28/2021,8580,22652,1,2781354
Derrick Mathis,7544484,3417473,2/26/2020,54895,"Johnstown, WY",Single Car Accident,12/17/2020,03/20/2021,18503,51327,1,4950789
Lori Bean,7529945,8018410,9/24/2020,99552,"Romulus, MI",Multiple Car Accident,02/08/2021,04/23/2021,18202,25665,0,2966810
Mirna Hood,3921072,4773476,7/5/2020,10549,"Georgiana, AL",Bike & Car Accident,07/19/2020,12/01/2020,3966,30844,0,8326861
Robert Gonzalez,8382932,3241561,9/28/2020,79654,"Delmita, TX",Hit and Run,11/03/2020,02/12/2021,15674,10549,1,1744429
Paul Ward,5958883,5074326,12/8/2020,96735,"Iron City, TN",Hit and Run,01/09/2021,04/02/2021,19504,20847,1,5676253
Bruce Herrera,3569814,8408863,3/20/2020,11102,"Chloride, AZ",Multiple Car Accident,12/01/2020,03/02/2021,12476,30076,0,5826850
Terry Garza,7285699,2858618,4/13/2020,33095,"Worth, MO",Auto Theft,08/03/2020,11/10/2020,6325,30346,0,6748753
Josefina Marini,4165323,8913259,1/5/2020,19959,"Forreston, IL",Auto Theft,04/25/2020,01/20/2021,17514,16563,0,8290873
Gregory Blake,5070460,2542852,9/1/2020,18098,"Horntown, OK",Bike & Car Accident,09/16/2020,03/30/2021,17836,13964,0,7313804
Jessica Rasmussen,3866717,6116838,10/2/2020,39890,"Port Orchard, WA",Hit and Run,06/27/2021,06/30/2021,8929,26631,1,4766379
Kathleen Long,9937362,7799369,5/23/2020,11421,"Plum Grove, TX",Single Car Accident,10/11/2020,10/11/2020,19852,48928,1,7902858
Steven Fisherman,9354350,3043913,2/14/2020,94921,"Lebanon, VA",Bike & Car Accident,10/05/2020,01/26/2021,9125,49844,0,2513832
Michael Rudd,6803446,9239799,5/20/2020,12991,"Munhall, PA",Hit and Run,04/28/2021,06/13/2021,9882,20802,0,6537952
Kristie Ashley,7056275,8975387,7/10/2020,98862,"Scenic, AZ",Bike & Car Accident,11/15/2020,04/04/2021,8222,37517,0,5886149
Chantay Bettencourt,2879461,4775646,10/12/2020,19771,"Mapleview, MN",Single Car Accident,04/25/2021,05/22/2021,2746,49454,0,5432652
Mary Chronister,8711085,8302394,3/3/2020,27157,"Manchester, NH",Single Car Accident,09/02/2020,10/11/2020,9357,34829,0,7092963
Jennifer Fry,1348908,6578026,9/23/2020,42707,"Rockport, IN",Single Car Accident,04/12/2021,04/16/2021,12523,8178,0,5935441
Rita Khouri,2471059,3546462,10/23/2020,24675,"Upper Montclair, NJ",Auto Theft,02/27/2021,05/08/2021,3179,36884,1,2166662
Odilia Lesser,2844642,1927858,8/28/2020,59764,"Heidelberg, PA",Bike & Car Accident,03/10/2021,06/24/2021,7175,17928,0,9010530
Dorothy Dickens,3839486,1504380,3/6/2020,57216,"Paisano Park, TX",Bike & Car Accident,09/21/2020,11/09/2020,8140,38156,1,6592323
Laura Morris,2306861,1852995,4/18/2020,57688,"Shamrock Lakes, IN",Bike & Car Accident,11/29/2020,04/22/2021,7338,59780,0,2706775
Charity Hamill,9140250,9966303,8/16/2020,40326,"Gila Bend, AZ",Hit and Run,05/17/2021,05/22/2021,19286,31059,0,7511526
Anthony Jackson,3226054,4716184,3/27/2020,79425,"Villano Beach, FL",Multiple Car Accident,02/08/2021,06/29/2021,12575,41566,1,5071628
Rosa Rains,5830812,9149034,7/12/2020,26667,"Thomson, GA",Single Car Accident,10/11/2020,01/08/2021,18149,19419,1,1264973
Steven Simpson,1978260,4537918,9/12/2020,57282,"Chippewa Park, OH",Bike & Car Accident,06/16/2021,06/28/2021,18194,10665,0,4733877
Clarence Valliere,1124869,7178052,1/11/2020,84705,"Blackwell, TX",Auto Theft,03/19/2021,05/31/2021,13151,20518,1,6330553
Donald Foret,8755324,5173932,2/28/2020,47447,"Livingston, IL",Hit and Run,11/13/2020,04/04/2021,7412,14398,0,9060849
Patricia Brady,5638735,2003725,10/3/2020,52732,"Woolstock, IA",Single Car Accident,01/13/2021,03/21/2021,19313,6525,0,4873761
