User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Steven Alford,1828576,9240492,11/10/2020,58374,"Parkton, NC",Multiple Car Accident,04/16/2021,09/28/2021,16524,42107,1,1464687,20
Kathleen Strahle,1901200,7893682,4/12/2020,62333,"Wilkinsburg, PA",Hit and Run,03/27/2021,07/16/2021,3732,7694,0,7853323,41
Wendell Bonato,5071767,9496225,7/19/2020,98425,"London, OH",Bike & Car Accident,04/27/2021,05/25/2021,7862,44496,0,6412281,50
Denise Howse,2912558,7574219,7/23/2020,44021,"Bell Canyon, CA",Single Car Accident,07/21/2021,08/04/2021,5841,46123,1,4996891,26
Dora Branner,7211288,2336418,6/16/2020,44244,"Granby, MO",Single Car Accident,02/13/2021,03/04/2021,9902,39513,1,2276064,28
Maria Brooks,6630054,3731787,10/16/2020,81352,"Hartford, IA",Multiple Car Accident,11/05/2020,07/18/2021,6916,34816,0,4392349,40
Stephen Ester,1931355,3206445,9/22/2020,42584,"Bearden, OK",Hit and Run,09/07/2021,11/20/2021,17532,48665,0,9163929,43
Donald Jarman,9855344,9030620,10/2/2020,82796,"New Richland, MN",Hit and Run,10/14/2021,10/30/2021,8013,41630,0,4997265,43
Rachel Light,8075448,7154456,11/28/2020,69695,"Welcome, NC",Single Car Accident,01/31/2021,04/14/2021,16207,26083,1,2601240,47
Lana Gibson,2197923,9751810,10/1/2020,30361,"Wykoff, MN",Single Car Accident,05/24/2021,06/28/2021,15452,13525,0,8998433,51
William Amorosi,2196508,7481139,7/28/2020,24299,"Lexington, NC",Auto Theft,09/11/2021,10/29/2021,5125,24030,0,8401422,18
Robert Costa,8306278,6133976,1/24/2020,10314,"Level Plains, AL",Auto Theft,11/01/2020,12/15/2020,11936,35256,0,1497756,45
Michael Starnes,8641425,7147600,12/4/2020,84888,"Clermont, IA",Hit and Run,06/08/2021,06/27/2021,8245,20558,1,6811362,51
Brittany Smith,1517146,8596335,12/26/2020,57005,"Littlefield, AZ",Bike & Car Accident,03/26/2021,11/19/2021,14566,59136,0,1383001,18
Laurie Cross,5729603,1257959,7/23/2020,45233,"Montezuma, CO",Single Car Accident,12/03/2020,05/16/2021,8700,15942,1,3762614,26
Michelle Gabe,6348946,2013886,2/8/2020,80109,"Whispering Pines, AZ",Hit and Run,05/24/2020,08/02/2020,11403,43544,1,3287023,36
Audrey Mcpherson,5225642,1783630,9/23/2020,66687,"Lincolnville, KS",Hit and Run,07/07/2021,10/18/2021,18662,29449,0,1055762,26
Everett Robinson,8985728,8157060,10/18/2020,64940,"Wyatt, MO",Multiple Car Accident,01/06/2021,08/27/2021,12487,41537,0,4939331,51
James Robertson,4423883,7801950,5/19/2020,31543,"Philippi, WV",Multiple Car Accident,08/26/2021,11/19/2021,12775,17204,1,9458734,20
Dolores Leeman,7869817,5152668,2/16/2020,83700,"Riverview, AL",Hit and Run,10/02/2020,01/02/2021,11636,25241,0,7940419,65
William Averette,8678014,6061487,6/12/2020,51295,"LaCrosse, WA",Single Car Accident,11/11/2020,07/30/2021,6854,51136,1,8155236,41
Tia Remmers,6022224,7031411,7/7/2020,87129,"Mill Creek, PA",Multiple Car Accident,06/15/2021,09/11/2021,11468,58130,1,8437270,32
Robert Rio,3184489,9144682,10/26/2020,85607,"Kennard, NE",Auto Theft,01/07/2021,03/21/2021,2075,54822,0,1282730,24
Brian Newton,6335760,8991959,2/14/2020,92829,"Iselin, NJ",Auto Theft,08/10/2020,09/13/2021,5758,36020,0,3928772,20
John Tappen,1901248,7389565,3/27/2020,42806,"Crouch, ID",Hit and Run,07/13/2021,11/23/2021,12202,31686,0,3242451,62
Wendell Bonato,5071767,9496225,7/19/2020,98425,"London, OH",Bike & Car Accident,04/27/2021,05/25/2021,7862,44496,0,9758321,50
Dolores Leeman,7869817,5152668,2/16/2020,83700,"Riverview, AL",Hit and Run,10/02/2020,01/02/2021,11636,25241,0,7428611,65
Patrick Jones,5248825,7801950,6/16/2020,72956,"Reidland, KY",Auto Theft,09/30/2020,03/06/2021,14635,51888,0,7820679,28
Ronald Swindle,3952939,2013886,8/1/2020,12970,"Stockett, MT",Bike & Car Accident,06/05/2021,06/28/2021,14363,24729,0,2736199,30
Sally Marmolejo,7632365,7147600,7/8/2020,28423,"Fingal, ND",Multiple Car Accident,04/04/2021,04/13/2021,17249,17711,0,8555027,22
Dustin Owston,3641340,3392444,3/25/2020,10412,"Columbia, MD",Bike & Car Accident,10/10/2020,11/21/2021,16121,10589,0,7068228,20
Agnes Booker,1952687,2751472,8/13/2020,74137,"Epworth, GA",Hit and Run,05/19/2020,07/04/2020,14960,55749,0,9923404,61
Michael Darling,7211288,7165037,7/21/2020,58287,"Menlo, GA",Multiple Car Accident,10/13/2020,05/16/2021,6858,21892,0,9205454,45
Raquel Weatherford,1203052,1792994,11/19/2020,12488,"Bay Village, OH",Bike & Car Accident,12/15/2020,04/01/2021,6966,16328,0,6670366,22
Wendell Bonato,5071767,9496225,7/19/2020,21063,"Waldwick, NJ",Bike & Car Accident,11/13/2021,11/22/2021,10128,44496,0,9657722,50
Denise Howse,2912558,5780370,7/23/2020,35326,"Linden, NJ",Hit and Run,09/18/2021,09/26/2021,16272,46123,0,4306843,26
Robert Costa,8306278,6133976,1/24/2020,93188,"St. Joseph, WI",Auto Theft,10/03/2020,08/26/2021,7576,35256,0,8036174,45
James Robertson,4423883,9150202,5/19/2020,19344,"Wilmette, IL",Bike & Car Accident,09/19/2020,08/06/2021,18691,17204,0,4895461,20
Jeffrey Walke,8698357,8316449,5/5/2020,22706,"Cathay, ND",Multiple Car Accident,07/03/2020,09/19/2020,5723,10079,0,2267100,40
Jared Marshall,4026609,2083034,1/5/2020,74224,"Quinlan, TX",Single Car Accident,11/27/2021,11/28/2021,17324,29579,0,7621053,17
Michael Darling,7211288,7165037,7/21/2020,62684,"Onton, KY",Bike & Car Accident,07/05/2020,06/13/2021,17705,21892,0,8812329,45
Kenneth Rodgers,1087748,7574219,4/7/2020,46497,"Wynnedale, IN",Multiple Car Accident,05/24/2021,07/28/2021,16183,26698,0,3257616,29
Rebecca Mckinney,4350996,9546103,7/23/2020,53606,"Bayard, NE",Bike & Car Accident,03/24/2021,07/01/2021,12529,58379,0,2057125,62
Brittany Smith,1517146,8596335,12/26/2020,11805,"Westphalia, IN",Bike & Car Accident,03/01/2021,05/07/2021,3289,59136,0,3248887,18
William Averette,8678014,6061487,6/12/2020,97616,"Erwin, SD",Auto Theft,12/01/2020,02/23/2021,9029,51136,0,3666826,41
Robert Rio,3184489,9144682,10/26/2020,64756,"Green Mountain Falls, CO",Auto Theft,11/24/2021,11/24/2021,8097,54822,0,1909579,24
John Tappen,1901248,7389565,3/27/2020,13785,"Goodview, MN",Auto Theft,05/26/2021,11/24/2021,11116,31686,0,3269646,62
Virginia Fuller,4233816,5951357,5/10/2020,78161,"Rupert, PA",Multiple Car Accident,04/26/2020,07/14/2021,9801,36463,0,3001503,41
Raquel Weatherford,1203052,1792994,11/19/2020,24140,"Seminole, TX",Multiple Car Accident,04/27/2020,09/10/2021,12042,16328,0,6262060,22
Edwin Flanders,3094080,5263262,4/12/2020,19762,"Alba, TX",Bike & Car Accident,01/04/2021,09/23/2021,4104,18661,0,6527939,31
John Tappen,1901248,7389565,3/27/2020,60424,"Fayette, MO",Multiple Car Accident,06/25/2021,11/27/2021,15108,31686,0,9491251,62
