User Name,Driver's Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack
Cassie Curling,8166436,1199422,7/24/2020,80841,"Bald Head Island, NC",Single Car Accident,05/23/2021,05/28/2021,17741,10743,0
Jean Sage,3511420,2812747,12/20/2020,66129,"McLoud, OK",Hit and Run,06/11/2021,06/12/2021,8547,43914,1
Ellen Fries,8495807,3341720,3/1/2020,60295,"Monroe, OR",Multiple Car Accident,05/16/2021,06/19/2021,5164,33748,0
Vanessa Higgins,5345226,4140044,1/5/2020,42499,"Delavan, MN",Multiple Car Accident,05/04/2021,06/02/2021,3311,27975,1
Leo Dominguez,4633076,8587132,6/1/2020,99403,"Brandon, WI",Single Car Accident,11/11/2020,02/01/2021,5879,37617,1
Elma Ortiz,2923023,3310720,4/6/2020,31145,"Eldorado, TX",Bike & Car Accident,04/19/2020,04/18/2021,15884,38963,0
Amelia Beach,8891638,5057597,3/15/2020,15865,"Springfield, FL",Multiple Car Accident,07/29/2020,08/01/2020,6276,14350,1
Nancy Davidson,4679605,7180845,1/28/2020,97966,"Turkey, TX",Single Car Accident,01/25/2021,06/02/2021,18877,42965,0
Sharon Sharp,7813133,4316185,5/25/2020,92259,"Energy, IL",Multiple Car Accident,07/22/2020,04/20/2021,19675,42861,1
Johnny Molina,8089455,6227281,9/8/2020,73191,"Meriden, KS",Bike & Car Accident,10/29/2020,11/27/2020,3227,43159,0
Ernest Jaeger,5479232,7963821,2/3/2020,41146,"Lake Isabella, CA",Single Car Accident,03/06/2021,03/09/2021,6934,17351,0
Chi Simpson,5215913,1202824,2/7/2020,22006,"Orbisonia, PA",Bike & Car Accident,02/03/2021,04/01/2021,16178,12859,0
Christopher Anderson,9535064,1085352,11/4/2020,25561,"Wise, VA",Multiple Car Accident,06/04/2021,06/28/2021,2779,9455,0
Daryl Osborne,6123271,6816332,5/9/2020,73138,"West Salem, WI",Hit and Run,12/30/2020,05/19/2021,7824,19042,0
John Lee,1567630,5508565,9/23/2020,78203,"Libertytown, MD",Multiple Car Accident,01/02/2021,02/27/2021,2875,41691,1
Michael Cotter,3927157,8353483,7/5/2020,79913,"Wortham, MO",Bike & Car Accident,12/16/2020,01/16/2021,11938,48738,0
Doris Davenport,3129279,5866442,9/8/2020,53151,"Chester, GA",Single Car Accident,10/11/2020,10/28/2020,16368,5349,1
Richard Reaves,2527515,9187971,2/25/2020,87753,"Cunningham, KS",Single Car Accident,04/22/2020,11/10/2020,13185,45990,0
James Morrissette,8509519,4558355,11/27/2020,58404,"Jonesville, IN",Auto Theft,06/30/2021,06/30/2021,4708,52645,1
Evelyn Gill,7344899,2058177,9/14/2020,23715,"Loganville, WI",Bike & Car Accident,02/12/2021,04/19/2021,7408,12708,1
Margaret Box,9664120,4460362,2/24/2020,69752,"Gravois Mills, MO",Auto Theft,10/08/2020,01/14/2021,13861,25065,1
Hiedi Larose,9049781,1394594,8/21/2020,36774,"Warrensville Heights, OH",Single Car Accident,10/02/2020,11/06/2020,17557,24093,0
Michael Morris,7095393,4907011,9/6/2020,87267,"Hialeah Gardens, FL",Bike & Car Accident,10/29/2020,11/25/2020,12537,48369,0
Donald Sawyer,8685397,1592642,2/14/2020,24491,"Cobden, IL",Bike & Car Accident,04/02/2021,06/23/2021,4148,8785,0
Patricia Moody,5603731,9347428,11/18/2020,55305,"Cromberg, CA",Single Car Accident,01/23/2021,06/23/2021,16470,19397,0
Toni Salas,8004117,9105554,1/27/2020,29224,"Arrowhead Springs, WY",Hit and Run,02/27/2021,04/04/2021,3925,45200,0
Herbert Messer,6153575,1730247,11/16/2020,92444,"Pamplico, SC",Auto Theft,01/04/2021,05/14/2021,9889,53994,0
Caleb Bissell,2005315,2686961,12/10/2020,25260,"Boonville, NC",Bike & Car Accident,01/28/2021,02/06/2021,15374,46756,0
Randell Daniel,4673556,2120121,6/8/2020,52132,"Rock Rapids, IA",Multiple Car Accident,08/14/2020,11/18/2020,12100,44975,1
Roger Beck,1811221,6617230,7/20/2020,88023,"Spencer, OH",Auto Theft,04/05/2021,05/10/2021,13548,15074,0
Sandra Childress,9146739,8255817,2/24/2020,16205,"Lake Sarasota, FL",Single Car Accident,04/09/2020,06/08/2020,11625,40755,0
Paul Macaluso,2823364,5441444,6/16/2020,73431,"Lenapah, OK",Single Car Accident,11/22/2020,12/12/2020,4976,11093,1
Stanley Mills,2117924,2491583,5/14/2020,78002,"Brecon, OH",Auto Theft,03/16/2021,04/06/2021,16013,42053,0
Cassandra Miller,8426425,7920622,10/22/2020,78233,"Anthonyville, AR",Auto Theft,03/07/2021,03/26/2021,8462,48369,0
Debora Janosko,4673556,1226714,12/5/2020,58210,"Gattman, MS",Auto Theft,04/07/2021,06/02/2021,18514,55562,1
Teresa Moradian,6744335,1272602,5/27/2020,91770,"Frenchtown-Rumbly, MD",Bike & Car Accident,03/05/2021,03/07/2021,2869,28046,0
Margie Welk,1077410,7766732,12/20/2020,16712,"Rennerdale, PA",Multiple Car Accident,02/08/2021,03/18/2021,7697,7532,0
Thomas Dietrich,1530755,5840958,6/18/2020,48929,"White Pine, TN",Multiple Car Accident,12/08/2020,06/27/2021,19393,16635,0
David Mcduffy,9256322,5154479,11/2/2020,72150,"Alpharetta, GA",Auto Theft,05/31/2021,06/29/2021,7740,50543,0
Beverly Ohagan,7167480,6310182,5/24/2020,12809,"Kimball, TN",Hit and Run,06/23/2021,06/23/2021,8471,56437,0
Michael Lozano,5501987,2207375,10/28/2020,48381,"Cypress, CA",Bike & Car Accident,04/25/2021,04/29/2021,12719,50445,0
Julia Chua,2968520,5756638,2/22/2020,26128,"Watertown, NY",Bike & Car Accident,04/06/2020,03/07/2021,6093,52310,0
Juan Keeton,9664120,4460362,7/8/2020,84860,"Westfield Center, OH",Single Car Accident,04/06/2021,05/22/2021,5506,50208,1
Jay Giebler,2146298,2058177,2/19/2020,81204,"Morristown, SD",Hit and Run,02/27/2020,04/01/2021,15432,31211,1
Joel Carter,5267244,4558355,12/19/2020,82277,"Pacific Beach, WA",Single Car Accident,05/19/2021,06/28/2021,6703,58139,1
Thurman Locke,6569793,8014907,1/5/2020,78405,"Broadview, IL",Auto Theft,06/28/2021,06/30/2021,4875,48099,0
Patricia Cain,3129279,7462098,3/17/2020,93462,"East Gull Lake, MN",Hit and Run,09/30/2020,03/24/2021,6999,58225,1
Bessie Jarvis,4291009,2394067,12/13/2020,72998,"Orfordville, WI",Single Car Accident,12/13/2020,06/12/2021,5164,27720,0
Nestor Tucker,1567630,5508565,1/28/2020,22549,"Lumpkin, GA",Bike & Car Accident,01/26/2021,02/17/2021,18005,42450,1
Elizabeth Click,2672040,8274021,1/9/2020,73165,"Southbridge, MA",Hit and Run,04/03/2021,06/16/2021,17919,33748,0
Nellie Thoma,3483675,1255234,9/3/2020,83989,"Panama City, FL",Bike & Car Accident,03/19/2021,06/04/2021,2480,55103,0
Glenn Cosentino,3717523,2569482,10/20/2020,57836,"Cobre, NM",Hit and Run,06/26/2021,06/29/2021,12785,58205,0
Lauren Bowers,6219069,4920863,9/16/2020,61360,"Arden, DE",Auto Theft,02/18/2021,05/11/2021,15306,34331,0
Jerry Hart,3585789,6240488,9/24/2020,28887,"Papaikou, HI",Hit and Run,05/18/2021,05/25/2021,7898,46006,0
Michael Caporiccio,7813133,4103331,2/19/2020,47837,"Waterloo, CA",Multiple Car Accident,05/18/2020,09/28/2020,11682,48703,1
Diane Malachi,5173666,8688467,1/22/2020,67914,"Calzada, PR",Auto Theft,04/26/2020,07/02/2020,15216,5397,0
Jackie Mccall,8891638,4970337,9/9/2020,21422,"Bon Secour, AL",Multiple Car Accident,02/08/2021,05/23/2021,7328,19944,1
Jeana Stroup,3321906,3555729,5/10/2020,56132,"Welch, WV",Single Car Accident,08/28/2020,08/29/2020,7497,52772,0
Brian Pagani,3583506,8587132,2/18/2020,58999,"San Isidro, TX",Multiple Car Accident,12/26/2020,05/09/2021,10138,25722,1
Norma Reid,8981137,4140044,8/1/2020,30112,"Taylor Lake Village, TX",Multiple Car Accident,04/06/2021,05/30/2021,19137,12903,1
Eric Pedlow,6236527,1778251,11/7/2020,89404,"Sargent, NE",Bike & Car Accident,01/13/2021,05/22/2021,4285,18801,0
Edgar Boatwright,3511420,8448993,7/12/2020,34072,"Swift Trail Junction, AZ",Single Car Accident,09/11/2020,01/09/2021,13999,44276,1
Brandon Keeney,7278384,5807493,5/1/2020,83109,"Woodville, GA",Auto Theft,12/14/2020,04/07/2021,6158,55593,0
Donald Shea,2059864,9037036,3/15/2020,75247,"Lynn, AR",Auto Theft,08/14/2020,08/22/2020,12523,55747,1
Mary Snell,6967510,9546044,6/19/2020,78790,"Oakhurst, CA",Bike & Car Accident,06/24/2020,06/20/2021,13514,32796,0
Gregory Parker,4499534,7022575,9/19/2020,59656,"Woodlyn, PA",Multiple Car Accident,02/25/2021,05/30/2021,19827,35965,1
Ana Case,6900556,8392022,6/25/2020,24809,"Caledonia, IL",Bike & Car Accident,12/16/2020,05/28/2021,17775,13183,0
Benjamin Jones,1218406,8955762,5/21/2020,18533,"Dayville, OR",Hit and Run,04/03/2021,05/06/2021,7950,7498,0
Ronnie Glover,5211889,2600491,3/10/2020,52739,"Pleasant Hill, OH",Bike & Car Accident,05/04/2021,05/11/2021,4545,45778,1
Denise Henrich,4284282,8924393,12/27/2020,42499,"Royal Kunia, HI",Auto Theft,06/12/2021,06/18/2021,15476,42039,0
Bertha Arbuckle,1961951,3870863,2/10/2020,78700,"Sanford, FL",Hit and Run,01/27/2021,06/08/2021,9135,43818,1
Rachel Koller,4501867,1886027,8/22/2020,34097,"San Pierre, IN",Single Car Accident,10/31/2020,05/08/2021,10447,31945,1
Jasmine Hinkley,4517934,3467402,9/12/2020,70959,"Bartow, FL",Bike & Car Accident,03/03/2021,04/12/2021,8991,41158,0
Paul Everett,1862565,4021665,7/9/2020,65622,"Seaboard, NC",Bike & Car Accident,11/26/2020,05/11/2021,9690,33610,0
Mary Gould,6131963,5950811,2/8/2020,23982,"Cimarron City, OK",Multiple Car Accident,01/22/2021,01/31/2021,8227,32932,0
Arthur Lester,3050804,7900553,3/26/2020,80459,"Watford City, ND",Single Car Accident,07/27/2020,02/18/2021,19755,14843,1
Robert Cates,4386581,7508396,12/17/2020,38402,"Seven Valleys, PA",Single Car Accident,03/19/2021,05/18/2021,16435,12920,0
Khalilah Sinn,5939231,3018375,10/8/2020,38208,"Highland Park, IL",Auto Theft,12/31/2020,04/10/2021,15271,16215,0
Richard Friedlander,6413588,3043654,9/7/2020,41407,"Munford, AL",Bike & Car Accident,09/09/2020,01/12/2021,9186,9192,0
Nathan Combs,6401920,1364302,4/26/2020,46699,"Dayton, PA",Bike & Car Accident,02/07/2021,06/01/2021,10520,46512,0
Miguel Flores,9199764,9558492,6/18/2020,41251,"Finesville, NJ",Single Car Accident,07/16/2020,01/03/2021,19982,7257,0
Ann Townsend,4567576,6825923,5/16/2020,40224,"Keiser, AR",Auto Theft,12/03/2020,02/22/2021,14183,51361,1
Marie Mosley,1871143,2764194,12/22/2020,24345,"Orchard, NE",Auto Theft,05/26/2021,06/16/2021,15304,8912,0
