User Name,Driver Id,Policy Number,D.O.P,Block Id,Location,Issue,D.O.I,D.O.R,Amount,Asset,Sybil Attack,Claim Id,Age
Tim Capdeville,5217417,7655995,5/13/2020,40968,"Conesus Hamlet, NY",Single Car Accident,02/07/2021,03/11/2021,3163,17536,0,7285682,20
Julie Arrants,8499317,2726513,9/17/2020,71225,"Woodlyn, PA",Multiple Car Accident,03/30/2021,03/30/2021,13115,6419,0,8516957,44
Tanesha Chancey,6597010,5418898,6/12/2020,26972,"Gibbon, MN",Auto Theft,07/12/2020,07/18/2020,3909,32827,0,5287410,18
Cythia Sholar,6558158,6445149,3/7/2020,77931,"Siren, WI",Hit and Run,01/11/2021,04/09/2021,2755,59856,1,5281700,20
Robert Ventura,1607700,6793298,9/19/2020,16325,"Hamilton Branch, CA",Bike & Car Accident,03/06/2021,05/15/2021,2990,54460,0,7388422,29
Richard Collins,9923895,9746859,3/11/2020,48267,"Armonk, NY",Single Car Accident,01/12/2021,04/22/2021,11072,39050,1,9042212,60
Robin Rose,5361293,6603119,1/2/2020,58642,"Mechanicsburg, OH",Multiple Car Accident,10/25/2020,04/16/2021,8341,11693,0,3436837,22
William Bergin,6574088,7091575,11/7/2020,55454,"Americus, KS",Auto Theft,02/10/2021,02/22/2021,18599,18249,1,3946238,31
Lavonda Kindle,6913967,8267380,1/28/2020,88024,"West Ishpeming, MI",Multiple Car Accident,04/21/2021,06/15/2021,6107,44841,1,1688006,65
Denise Foster,7114445,6271778,7/1/2020,25937,"St. Johns, IL",Multiple Car Accident,09/03/2020,11/28/2020,14249,57141,1,5201267,36
Stephen Russell,5855326,1418303,11/15/2020,24781,"Vamo, FL",Bike & Car Accident,01/17/2021,04/02/2021,11444,39092,0,6366026,31
Linda Walker,6751748,3209113,12/22/2020,55665,"East Canton, OH",Single Car Accident,04/09/2021,06/09/2021,16654,21382,1,2518419,38
Michael Eldridge,7091492,8569615,1/12/2020,93165,"Millerville, MN",Single Car Accident,05/19/2020,05/23/2021,7284,20848,0,8671897,62
Tanya Feliciano,8262510,5826735,1/26/2020,50125,"Bowbells, ND",Bike & Car Accident,09/05/2020,01/28/2021,9444,51290,0,3250756,22
Mary Harvey,6881697,9110216,8/11/2020,26200,"Deering, AK",Single Car Accident,10/11/2020,02/26/2021,10917,35367,1,7904963,61
William Cline,7854450,4659974,1/6/2020,45124,"Exmore, VA",Bike & Car Accident,10/01/2020,11/28/2020,17423,59057,0,2565241,29
John Cloe,7696973,6200062,10/8/2020,65984,"Chesterbrook, PA",Auto Theft,05/01/2021,06/12/2021,14988,54670,1,2143450,39
Thomas Tuck,9297142,8523161,9/7/2020,72740,"Wayne, OH",Bike & Car Accident,11/04/2020,05/30/2021,12979,24553,0,9771499,43
Alisha Carroll,1700419,6938231,12/11/2020,73754,"Drayton, ND",Single Car Accident,12/20/2020,05/16/2021,14215,42780,1,6022261,21
Megan Terry,2283853,9731527,4/9/2020,37769,"Makakilo, HI",Single Car Accident,06/18/2021,06/19/2021,10616,46936,1,7210014,60
Bradley Caron,5846270,2367420,2/23/2020,99090,"Plainwell, MI",Single Car Accident,05/03/2020,01/29/2021,7772,27744,1,4105627,27
Julia Bodak,4720147,1818490,5/28/2020,76062,"Zurich, KS",Bike & Car Accident,07/04/2020,06/08/2021,8561,20194,0,9784502,32
Frances Coleman,3343796,7374790,6/18/2020,46298,"Alderton, WA",Hit and Run,06/22/2020,04/01/2021,9735,11748,0,3743781,50
Arlene Lewis,6972600,9384368,8/28/2020,33811,"Calverton Park, MO",Hit and Run,06/30/2021,07/01/2021,14929,19771,0,9266823,37
Gwendolyn Davis,5073901,1453463,2/10/2020,92619,"Pomeroy, OH",Single Car Accident,05/25/2020,01/18/2021,11527,24744,0,2976618,37
Maria Maloney,1849234,2705958,9/2/2020,39238,"Pinehurst, GA",Bike & Car Accident,12/07/2020,05/25/2021,19241,6038,0,7532301,38
Elaine Brown,9338170,2848746,8/5/2020,92607,"Staunton, IL",Multiple Car Accident,10/17/2020,04/09/2021,18421,30690,0,4806791,19
David Winston,5092445,1943208,9/4/2020,31817,"Westwood, KS",Bike & Car Accident,09/10/2020,04/15/2021,10336,42287,0,3490269,18
Ryan Davis,8691233,2847145,1/4/2020,30498,"Minden, IA",Single Car Accident,11/04/2020,12/19/2020,15346,45791,0,9016017,40
Ruben Britt,4596595,4428244,9/21/2020,26942,"Weleetka, OK",Hit and Run,06/30/2021,07/01/2021,4108,39656,0,8424340,64
David Geer,4697977,8004112,2/5/2020,58042,"North Hampton, OH",Hit and Run,05/13/2020,10/24/2020,13211,16627,0,3886547,58
Irene Reese,8595335,9286236,1/20/2020,10457,"Tiltonsville, OH",Single Car Accident,09/29/2020,04/11/2021,10156,10487,0,5416582,18
Richard Stratton,5846270,9422433,11/12/2020,57198,"Circleville, UT",Multiple Car Accident,12/17/2020,06/07/2021,3583,30026,1,7197740,61
William Ellis,2283853,4847556,8/14/2020,56417,"Trail, OR",Multiple Car Accident,04/22/2021,06/21/2021,3079,59337,1,3057395,36
Richard Pemberton,9396540,6938231,6/22/2020,13276,"Granville, IL",Bike & Car Accident,06/28/2021,06/28/2021,8277,42614,1,8631183,60
Deb Austin,1548160,1845483,12/23/2020,60599,"Bliss, ID",Auto Theft,01/12/2021,05/21/2021,17044,57686,0,6746514,25
Donald Crocker,3503222,6200062,9/16/2020,63876,"Fox Crossing, WI",Single Car Accident,03/17/2021,03/18/2021,19772,49851,1,1160194,22
Jodie Davidson,6588564,2012617,8/8/2020,75716,"West Pasco, WA",Hit and Run,05/09/2021,06/17/2021,2598,49658,0,4789962,43
Juan Weimer,8523021,9110216,11/7/2020,71862,"Cedar Grove, IN",Single Car Accident,12/31/2020,03/28/2021,5065,36122,1,4181150,19
Robert Bergman,6271468,9514643,10/10/2020,79275,"Oasis, NV",Multiple Car Accident,06/15/2021,06/15/2021,13224,13789,0,1131341,18
Fannie Uy,4173842,2325043,12/10/2020,98465,"Seacliff, CA",Hit and Run,04/28/2021,06/10/2021,5519,7603,0,2495178,64
Natalie Justis,6751748,9598585,11/19/2020,41319,"Mitchellville, TN",Single Car Accident,05/17/2021,06/01/2021,15834,52118,1,1891200,22
Jill Latigo,7506069,7883583,7/26/2020,31794,"Prairie City, IL",Hit and Run,03/31/2021,04/05/2021,8262,31438,0,2413446,16
Erin Allen,5258792,6271778,4/17/2020,84904,"San Antonio, PR",Auto Theft,11/01/2020,06/01/2021,12580,36163,1,3583188,36
Doreen Fletcher,6913967,4224176,5/20/2020,59709,"Oneida, TN",Multiple Car Accident,01/13/2021,06/16/2021,6364,39567,1,1698735,49
Jane Hamilton,3349572,7091575,1/8/2020,77425,"Waldo, FL",Auto Theft,07/10/2020,04/09/2021,9286,11408,1,1970569,17
Richard Remmick,7614918,5557505,11/2/2020,80208,"Williamson, WV",Single Car Accident,06/06/2021,06/20/2021,9127,55607,0,3991329,17
Sharon Rathje,8683922,9746859,7/2/2020,63643,"Red Oaks Mill, NY",Bike & Car Accident,01/06/2021,03/25/2021,8787,51356,1,1967684,46
Zachary Williams,3415419,4994532,8/6/2020,42017,"Clawson, MI",Bike & Car Accident,06/02/2021,06/19/2021,6050,35317,0,1084326,54
Clarence Dever,6558158,9909966,9/8/2020,93801,"Palatine, IL",Bike & Car Accident,06/06/2021,06/22/2021,9123,45790,1,5826750,64
Victor Masters,1911707,5351638,9/12/2020,74196,"Marne, IA",Single Car Accident,06/20/2021,06/26/2021,5897,33394,0,9331894,29
Henrietta Earl,3151077,6647555,8/5/2020,23500,"Granite, OR",Auto Theft,12/21/2020,05/29/2021,7044,37962,0,8247903,26
Michael Butler,1157401,5360653,8/12/2020,31729,"Vernon, IN",Hit and Run,12/17/2020,06/02/2021,11440,56690,0,2728477,21
Titus Haymes,1493237,4999462,2/1/2020,42875,"Strong City, OK",Single Car Accident,05/28/2020,10/24/2020,2026,22070,0,1154833,22
Cynthia Lee,3888470,3966626,7/27/2020,85997,"Appleton, WI",Auto Theft,12/21/2020,04/16/2021,5376,31479,0,4282784,65
James Silva,6909290,6635402,5/22/2020,51462,"Rensselaer Falls, NY",Multiple Car Accident,05/20/2021,05/25/2021,11557,28242,0,3941879,56
Jane Villalvazo,4590225,7066009,6/12/2020,24967,"North Royalton, OH",Single Car Accident,03/31/2021,06/23/2021,11226,40481,1,9983281,64
Harold Haverstick,6526080,6050302,11/21/2020,20466,"Franklin, MO",Hit and Run,01/22/2021,06/21/2021,5646,35016,0,6507903,41
James Haist,1576257,5296330,9/18/2020,80442,"Exmore, VA",Bike & Car Accident,01/02/2021,02/10/2021,10088,51664,0,4591829,20
Jeanie Adkins,5671470,4880957,2/14/2020,93197,"Fountainhead-Orchard Hills, MD",Bike & Car Accident,02/28/2020,06/15/2021,5027,59818,0,4229332,37
Mary Bowers,6852305,9307605,4/7/2020,97680,"Emmett, KS",Multiple Car Accident,05/05/2021,05/23/2021,10369,30992,1,2187731,31
Tammy Falconer,7723649,2461060,6/5/2020,34693,"Lostine, OR",Single Car Accident,11/21/2020,06/06/2021,14237,30777,0,3191638,48
Edith Josey,8359520,5185262,12/18/2020,18138,"Commerce City, CO",Multiple Car Accident,06/28/2021,07/01/2021,12199,28165,1,7812064,60
Norman Beauvais,1523098,9720388,4/9/2020,47695,"Naturita, CO",Auto Theft,02/24/2021,04/01/2021,18717,31555,1,8591619,28
Carolyn Martin,5095976,5061756,11/15/2020,65650,"Armstrong, MO",Bike & Car Accident,05/27/2021,06/02/2021,14107,19415,0,2355958,25
John Nellis,8643503,8437200,12/15/2020,87429,"Burlington, WI",Bike & Car Accident,05/03/2021,05/31/2021,6719,46275,0,1098993,20
Steve Walker,6125753,7716753,6/25/2020,41358,"Coshocton, OH",Multiple Car Accident,05/24/2021,06/14/2021,12018,13815,0,3937823,65
Jesse Brown,4004495,5943722,12/16/2020,46703,"Marquette, WI",Single Car Accident,03/01/2021,03/02/2021,13893,29697,0,5038174,65
Leonard Thomas,6393885,4150245,7/16/2020,60698,"Strathmore, NJ",Hit and Run,12/09/2020,03/04/2021,15962,24488,0,3718715,32
Victor Jacobs,5659703,3805031,6/18/2020,34755,"Strawberry Point, IA",Multiple Car Accident,10/09/2020,04/05/2021,9891,30721,1,6392834,37
Tawanna Villareal,5025007,1152474,5/20/2020,28045,"Cashiers, NC",Hit and Run,08/10/2020,03/13/2021,9285,25154,0,7780063,45
Kevin Davis,5767479,1004855,9/20/2020,34671,"Webster, NC",Single Car Accident,04/13/2021,06/16/2021,7199,39705,0,3759549,34
Harry Chandler,7592332,3787646,11/25/2020,79724,"Portage, IN",Multiple Car Accident,03/04/2021,06/23/2021,10681,17126,0,4346745,52
Lottie Askew,4077608,9832854,7/15/2020,22018,"Rochester Hills, MI",Auto Theft,02/14/2021,03/27/2021,12893,31977,0,1134704,65
Stephanie Mitchell,9096557,8150431,1/25/2020,43514,"Calmar, IA",Single Car Accident,08/02/2020,05/26/2021,3611,8825,1,3220453,65
Christopher Barnes,8311244,1635323,12/15/2020,11824,"Oakville, WA",Bike & Car Accident,06/08/2021,06/17/2021,17283,7847,0,8290500,19
Carol Morris,3580591,3333308,12/5/2020,56030,"Dunlap, IA",Single Car Accident,01/21/2021,02/25/2021,5944,43850,0,5530276,51
Jeremy Kleber,2789833,4914258,2/25/2020,36624,"Long Beach, MD",Hit and Run,06/01/2021,06/16/2021,13757,15547,0,3173122,58
Brenda Diaz,8099693,6612843,9/17/2020,69339,"Kahaluu-Keauhou, HI",Auto Theft,05/12/2021,06/02/2021,11780,35378,0,7484636,20
Tanesha Chancey,6597010,5418898,6/12/2020,26972,"Gibbon, MN",Auto Theft,07/12/2020,07/18/2020,3909,32827,0,9424310,18
Robin Rose,5361293,6603119,1/2/2020,58642,"Mechanicsburg, OH",Multiple Car Accident,10/25/2020,04/16/2021,8341,11693,0,1803383,22
Irene Reese,8595335,9286236,1/20/2020,10457,"Tiltonsville, OH",Single Car Accident,09/29/2020,04/11/2021,10156,10487,0,8728671,18
Richard Stratton,3724678,9422433,11/12/2020,57198,"Circleville, UT",Multiple Car Accident,12/17/2020,06/07/2021,3583,30026,0,4050547,61
Brenda Barnes,3178737,1444045,4/19/2020,58562,"Marceline, MO",Single Car Accident,10/07/2020,06/24/2021,6007,8628,0,9457580,54
Wesley Koonce,4949464,6393917,10/12/2020,33822,"Pocahontas, IL",Single Car Accident,07/12/2020,04/07/2021,3442,30388,0,9169667,48
Art White,5267140,6233536,4/25/2020,32267,"Manning, SC",Bike & Car Accident,03/21/2021,05/23/2021,18859,15643,0,2063645,40
Johnathon Henry,2164826,5291229,9/23/2020,35333,"Avon, MN",Multiple Car Accident,11/07/2020,02/05/2021,18364,40306,0,6596737,42
Estelle Parker,2723818,8448038,12/10/2020,34455,"Pymatuning Central, PA",Multiple Car Accident,07/17/2020,10/19/2020,18680,15104,0,3523286,19
Timothy Sena,2068389,1364766,1/11/2020,74863,"Pawnee Rock, KS",Single Car Accident,08/21/2020,10/13/2020,3369,46107,0,4566873,43
Lavonda Kindle,2798844,8267380,1/28/2020,19616,"Samnorwood, TX",Auto Theft,04/23/2020,02/23/2021,16937,44841,0,9360914,65
William Cline,7854450,4659974,1/6/2020,28264,"Cimarron, KS",Single Car Accident,12/20/2020,12/22/2020,6765,59057,0,9863752,29
Bradley Caron,5846270,2367420,2/23/2020,46458,"Puerto de Luna, NM",Multiple Car Accident,08/13/2020,12/30/2020,12059,27744,0,8405721,27
Elaine Brown,9338170,2848746,8/5/2020,81570,"Smithfield, UT",Hit and Run,02/08/2021,03/09/2021,8983,30690,0,3840262,19
Irene Reese,8595335,9286236,1/20/2020,92903,"Barnstable, MA",Bike & Car Accident,11/04/2020,04/20/2021,13602,10487,0,5141442,18
Robert Bergman,6271468,9514643,10/10/2020,36747,"Watchung, NJ",Hit and Run,09/25/2020,05/01/2021,2339,13789,0,5680594,18
Jill Latigo,7506069,7883583,7/26/2020,45350,"Talladega Springs, AL",Bike & Car Accident,06/01/2020,10/22/2020,8234,31438,0,1343860,16
Sharon Rathje,8683922,9746859,7/2/2020,56699,"Rafael Capo, PR",Single Car Accident,09/30/2020,06/10/2021,8305,51356,0,9531760,46
Clarence Dever,4057515,9909966,9/8/2020,64863,"Bucoda, WA",Single Car Accident,06/24/2021,06/26/2021,19610,45790,0,3917796,64
Henrietta Earl,3151077,6647555,8/5/2020,36532,"Atlanta, IL",Multiple Car Accident,09/28/2020,04/09/2021,19641,37962,0,6754762,26
Titus Haymes,1493237,4999462,2/1/2020,62193,"Mooreland, IN",Multiple Car Accident,03/30/2020,01/18/2021,13110,22070,0,4362500,22
Cynthia Lee,3888470,3966626,7/27/2020,12966,"North Springfield, VT",Single Car Accident,08/14/2020,10/09/2020,4226,31479,0,2573285,65
Jeanie Adkins,5671470,4880957,2/14/2020,90719,"Winslow, IL",Hit and Run,08/18/2020,12/12/2020,19417,59818,0,5559900,37
Edith Josey,7197432,5185262,12/18/2020,62908,"California Hot Springs, CA",Hit and Run,03/04/2021,06/18/2021,17376,28165,0,9276661,60
Carolyn Martin,5095976,5061756,11/15/2020,20772,"Quinlan, TX",Bike & Car Accident,04/20/2020,06/18/2021,16480,19415,0,5877694,25
Steve Walker,6125753,7716753,6/25/2020,91725,"Eagletown, OK",Hit and Run,02/25/2020,04/11/2021,4179,13815,0,6088227,65
Leonard Thomas,6393885,4150245,7/16/2020,71940,"Riceville, TN",Auto Theft,08/31/2020,06/29/2021,18200,24488,0,5152764,32
Tawanna Villareal,5025007,1152474,5/20/2020,70805,"Knierim, IA",Bike & Car Accident,03/07/2020,06/26/2020,7693,25154,0,7877167,45
Stephanie Mitchell,9096557,7533173,1/25/2020,28745,"Milton, FL",Single Car Accident,08/26/2020,10/02/2020,8315,8825,0,2728780,65
Carol Morris,3580591,3333308,12/5/2020,10817,"Eagle Point, OR",Single Car Accident,05/18/2020,07/01/2021,17794,43850,0,6107710,51
Shirley Belinsky,3015399,4686600,12/15/2020,15904,"Saxapahaw, NC",Multiple Car Accident,05/29/2021,06/24/2021,11763,52057,0,5247090,16
Timothy Sena,2068389,1364766,1/11/2020,18076,"Tyrone, NM",Multiple Car Accident,11/22/2020,11/30/2020,17447,46107,0,7675662,43
Jennifer Fowler,5264229,1163975,12/19/2020,38047,"Danielsville, GA",Bike & Car Accident,11/11/2020,03/07/2021,10519,58962,0,9542190,28
Cythia Sholar,6558158,6445149,3/7/2020,91966,"Watervliet, MI",Multiple Car Accident,05/25/2021,06/02/2021,11872,59856,0,9759605,20
William Cline,7854450,4659974,1/6/2020,14432,"Garner, NC",Single Car Accident,05/05/2021,05/25/2021,3531,59057,0,5010404,29
Thomas Tuck,9297142,8523161,9/7/2020,53991,"Hudson Lake, IN",Single Car Accident,06/05/2021,06/25/2021,12378,24553,0,2851621,43
Arlene Lewis,6972600,9384368,8/28/2020,33980,"Farmersville, TX",Hit and Run,10/11/2020,01/04/2021,5616,19771,0,7871345,37
Gwendolyn Davis,5073901,1453463,2/10/2020,11436,"Humboldt Hill, CA",Bike & Car Accident,02/01/2021,03/19/2021,3380,24744,0,1876743,37
Ryan Davis,8691233,2847145,1/4/2020,73230,"Rockport, KY",Hit and Run,08/06/2020,02/15/2021,9353,45791,0,3958587,40
Ruben Britt,4596595,4428244,9/21/2020,86153,"Steele, AL",Single Car Accident,02/02/2021,05/19/2021,2695,39656,0,9365758,64
Richard Stratton,3724678,9422433,11/12/2020,58074,"Empire, MI",Single Car Accident,04/07/2021,04/30/2021,5293,30026,0,4634298,61
Deb Austin,1548160,1845483,12/23/2020,28557,"Huron, CA",Multiple Car Accident,05/21/2020,06/10/2021,3566,57686,0,6634860,25
Michael Butler,1157401,5360653,8/12/2020,35014,"Rollingwood, CA",Auto Theft,11/06/2020,05/16/2021,17186,56690,0,1419126,21
Jesse Brown,4004495,5943722,12/16/2020,55006,"Section, AL",Multiple Car Accident,07/16/2020,01/15/2021,11136,29697,0,9928923,65
Lottie Askew,4077608,9832854,7/15/2020,96394,"Arroyo Gardens, TX",Multiple Car Accident,03/26/2020,03/09/2021,18059,31977,0,7157815,65
Jeremy Kleber,2789833,4914258,2/25/2020,37577,"Miramar, FL",Auto Theft,06/12/2020,03/05/2021,19876,15547,0,5719476,58
Brenda Barnes,3178737,1444045,4/19/2020,27049,"Citronelle, AL",Auto Theft,06/18/2020,06/18/2021,8421,8628,0,3227712,54
Maria Maloney,1849234,2705958,9/2/2020,58455,"Rye, AZ",Hit and Run,02/13/2021,03/28/2021,4429,6038,0,9687588,38
Elaine Brown,9338170,2848746,8/5/2020,42963,"Bridge City, LA",Multiple Car Accident,02/14/2021,04/26/2021,12173,30690,0,1159887,19
Juan Weimer,8523021,9110216,11/7/2020,21334,"Grand Rivers, KY",Auto Theft,03/06/2020,04/02/2020,9258,36122,0,7408666,19
James Silva,6909290,6635402,5/22/2020,43172,"Balfour, NC",Hit and Run,02/03/2021,03/08/2021,11912,28242,0,4147293,56
James Haist,1576257,5296330,9/18/2020,80901,"Horicon, WI",Single Car Accident,08/30/2020,05/25/2021,19209,51664,0,9150618,20
Steve Walker,6125753,7716753,6/25/2020,93314,"Clinton, AR",Auto Theft,08/02/2020,11/26/2020,10098,13815,0,8605005,65
Lottie Askew,4077608,9832854,7/15/2020,43315,"Childress, TX",Single Car Accident,06/02/2020,05/14/2021,16389,31977,0,4297314,65
